Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (467)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"336.663","178.046","972.269"
2,0,"336.636","178.01","972.294"
3,0,"336.597","177.962","972.315"
4,0,"336.575","177.935","972.322"
5,0,"336.56","177.907","972.36"
6,0,"336.56","177.887","972.381"
7,0,"336.545","177.864","972.4"
8,0,"336.544","177.858","972.439"
9,0,"336.561","177.861","972.497"
10,0,"336.59","177.878","972.532"
11,0,"336.605","177.891","972.593"
12,0,"336.631","177.904","972.632"
13,0,"336.653","177.937","972.711"
14,0,"336.656","177.979","972.76"
15,0,"336.662","178.009","972.807"
16,0,"336.642","178.037","972.834"
17,0,"336.615","178.041","972.845"
18,0,"336.602","178.053","972.858"
19,0,"336.581","178.062","972.868"
20,0,"336.558","178.07","972.893"
21,0,"336.532","178.069","972.891"
22,0,"336.509","178.068","972.911"
23,0,"336.498","178.061","972.908"
24,0,"336.504","178.06","972.919"
25,0,"336.508","178.055","972.93"
26,0,"336.507","178.036","972.936"
27,0,"336.502","178.015","972.947"
28,0,"336.503","178.009","972.952"
29,0,"336.504","178.002","972.981"
30,0,"336.515","177.996","973.012"
31,0,"336.513","177.994","973.032"
32,0,"336.52","177.998","973.047"
33,0,"336.525","178.008","973.077"
34,0,"336.545","178.031","973.12"
35,0,"336.541","178.049","973.149"
36,0,"336.548","178.058","973.183"
37,0,"336.55","178.077","973.212"
38,0,"336.551","178.077","973.237"
39,0,"336.546","178.077","973.256"
40,0,"336.544","178.075","973.283"
41,0,"336.546","178.08","973.299"
42,0,"336.547","178.069","973.312"
43,0,"336.548","178.055","973.322"
44,0,"336.559","178.04","973.329"
45,0,"336.552","178.005","973.333"
46,0,"336.555","177.965","973.349"
47,0,"336.554","177.922","973.32"
48,0,"336.546","177.871","973.309"
49,0,"336.559","177.832","973.307"
50,0,"336.573","177.795","973.291"
51,0,"336.581","177.767","973.291"
52,0,"336.575","177.74","973.283"
53,0,"336.578","177.723","973.286"
54,0,"336.595","177.717","973.292"
55,0,"336.625","177.709","973.294"
56,0,"336.644","177.698","973.288"
57,0,"336.669","177.695","973.279"
58,0,"336.705","177.693","973.273"
59,0,"336.719","177.696","973.28"
60,0,"336.75","177.702","973.285"
61,0,"336.762","177.707","973.293"
62,0,"336.785","177.73","973.296"
63,0,"336.781","177.744","973.298"
64,0,"336.798","177.763","973.285"
65,0,"336.803","177.78","973.266"
66,0,"336.822","177.799","973.241"
67,0,"336.83","177.82","973.206"
68,0,"336.876","177.856","973.18"
69,0,"336.897","177.88","973.146"
70,0,"336.903","177.89","973.119"
71,0,"336.922","177.923","973.095"
72,0,"336.945","177.951","973.068"
73,0,"336.959","177.99","973.034"
74,0,"336.993","178.027","973.006"
75,0,"337.029","178.062","972.976"
76,0,"337.064","178.111","972.965"
77,0,"337.099","178.171","972.953"
78,0,"337.139","178.227","972.937"
79,0,"337.177","178.296","972.936"
80,0,"337.209","178.367","972.948"
81,0,"337.224","178.417","972.937"
82,0,"337.241","178.478","972.938"
83,0,"337.263","178.564","972.944"
84,0,"337.284","178.644","972.962"
85,0,"337.311","178.738","972.968"
86,0,"337.33","178.831","972.99"
87,0,"337.335","178.913","973.013"
88,0,"337.345","179.019","973.023"
89,0,"337.347","179.097","973.053"
90,0,"337.357","179.179","973.048"
91,0,"337.375","179.267","973.091"
92,0,"337.38","179.356","973.099"
93,0,"337.389","179.43","973.119"
94,0,"337.402","179.513","973.127"
95,0,"337.415","179.576","973.141"
96,0,"337.427","179.65","973.144"
97,0,"337.438","179.704","973.138"
98,0,"337.433","179.761","973.122"
99,0,"337.455","179.814","973.101"
100,0,"337.465","179.869","973.1"
101,0,"337.473","179.928","973.121"
102,0,"337.486","179.988","973.129"
103,0,"337.507","180.046","973.145"
104,0,"337.538","180.104","973.151"
105,0,"337.579","180.161","973.173"
106,0,"337.607","180.219","973.197"
107,0,"337.627","180.276","973.222"
108,0,"337.661","180.331","973.282"
109,0,"337.658","180.354","973.299"
110,0,"337.642","180.401","973.341"
111,0,"337.626","180.445","973.375"
112,0,"337.607","180.485","973.395"
113,0,"337.58","180.499","973.404"
114,0,"337.553","180.517","973.414"
115,0,"337.513","180.539","973.405"
116,0,"337.502","180.557","973.389"
117,0,"337.492","180.574","973.382"
118,0,"337.475","180.58","973.37"
119,0,"337.469","180.578","973.347"
120,0,"337.454","180.569","973.328"
121,0,"337.453","180.575","973.32"
122,0,"337.454","180.569","973.312"
123,0,"337.467","180.581","973.31"
124,0,"337.481","180.593","973.308"
125,0,"337.492","180.601","973.321"
126,0,"337.523","180.612","973.319"
127,0,"337.543","180.63","973.336"
128,0,"337.568","180.659","973.325"
129,0,"337.604","180.676","973.299"
130,0,"337.613","180.699","973.293"
131,0,"337.623","180.732","973.273"
132,0,"337.618","180.768","973.26"
133,0,"337.594","180.801","973.223"
134,0,"337.543","180.847","973.185"
135,0,"337.468","180.894","973.137"
136,0,"337.375","180.956","973.083"
137,0,"337.247","181.026","972.971"
138,0,"337.075","181.065","972.834"
139,0,"336.895","181.116","972.652"
140,0,"336.621","181.158","972.451"
141,0,"336.353","181.198","972.231"
142,0,"336.001","181.231","971.948"
143,0,"335.625","181.248","971.662"
144,0,"335.192","181.279","971.32"
145,0,"334.779","181.311","970.919"
146,0,"334.315","181.353","970.467"
147,0,"333.806","181.406","969.949"
148,0,"333.278","181.459","969.336"
149,0,"332.741","181.525","968.731"
150,0,"332.174","181.552","967.967"
151,0,"331.623","181.648","967.199"
152,0,"331.001","181.693","966.335"
153,0,"330.421","181.76","965.413"
154,0,"329.783","181.797","964.45"
155,0,"329.153","181.84","963.384"
156,0,"328.491","181.855","962.29"
157,0,"327.811","181.865","961.184"
158,0,"327.108","181.807","960.055"
159,0,"326.409","181.71","958.886"
160,0,"325.68","181.534","957.706"
161,0,"324.935","181.331","956.534"
