Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (591)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"421.408","203.28","85.6953"
2,0,"421.401","203.273","85.6841"
3,0,"421.397","203.283","85.6746"
4,0,"421.403","203.271","85.672"
5,0,"421.405","203.274","85.6656"
6,0,"421.396","203.272","85.6799"
7,0,"421.381","203.264","85.692"
8,0,"421.384","203.278","85.687"
9,0,"421.377","203.269","85.6996"
10,0,"421.375","203.261","85.6935"
11,0,"421.38","203.234","85.7026"
12,0,"421.393","203.233","85.7053"
13,0,"421.385","203.236","85.7053"
14,0,"421.389","203.24","85.7074"
15,0,"421.398","203.254","85.6955"
16,0,"421.391","203.269","85.6898"
17,0,"421.384","203.27","85.6865"
18,0,"421.386","203.277","85.6748"
19,0,"421.403","203.276","85.6753"
20,0,"421.413","203.286","85.6822"
21,0,"421.424","203.293","85.6862"
22,0,"421.431","203.282","85.6942"
23,0,"421.431","203.269","85.699"
24,0,"421.433","203.27","85.7049"
25,0,"421.432","203.25","85.703"
26,0,"421.434","203.233","85.7046"
27,0,"421.428","203.209","85.7158"
28,0,"421.424","203.194","85.7378"
29,0,"421.423","203.203","85.7488"
30,0,"421.417","203.209","85.7524"
31,0,"421.413","203.206","85.7507"
32,0,"421.416","203.197","85.7576"
33,0,"421.42","203.187","85.7621"
34,0,"421.426","203.19","85.7554"
35,0,"421.437","203.21","85.7562"
36,0,"421.448","203.209","85.7574"
37,0,"421.441","203.195","85.7734"
38,0,"421.445","203.181","85.7853"
39,0,"421.444","203.178","85.7797"
40,0,"421.434","203.15","85.7913"
41,0,"421.44","203.157","85.776"
42,0,"421.434","203.171","85.7759"
43,0,"421.436","203.172","85.7741"
44,0,"421.436","203.18","85.7718"
45,0,"421.431","203.182","85.7684"
46,0,"421.434","203.168","85.7682"
47,0,"421.439","203.161","85.7647"
48,0,"421.438","203.149","85.774"
49,0,"421.437","203.151","85.7694"
50,0,"421.436","203.169","85.7594"
51,0,"421.421","203.16","85.7706"
52,0,"421.421","203.172","85.7618"
53,0,"421.422","203.179","85.7535"
54,0,"421.428","203.191","85.7484"
55,0,"421.421","203.154","85.7585"
56,0,"421.431","203.168","85.7539"
57,0,"421.428","203.155","85.7558"
58,0,"421.425","203.165","85.754"
59,0,"421.43","203.176","85.7434"
60,0,"421.433","203.188","85.74"
61,0,"421.437","203.201","85.7201"
62,0,"421.434","203.198","85.7143"
63,0,"421.435","203.229","85.6971"
64,0,"421.427","203.231","85.6903"
65,0,"421.425","203.244","85.6887"
66,0,"421.424","203.265","85.6717"
67,0,"421.419","203.276","85.6555"
68,0,"421.42","203.29","85.6366"
69,0,"421.417","203.308","85.6114"
70,0,"421.418","203.32","85.6028"
71,0,"421.43","203.354","85.58"
72,0,"421.428","203.373","85.5615"
73,0,"421.434","203.383","85.5612"
74,0,"421.437","203.39","85.5415"
75,0,"421.45","203.399","85.539"
76,0,"421.453","203.405","85.544"
77,0,"421.451","203.402","85.5454"
78,0,"421.447","203.423","85.5491"
79,0,"421.446","203.422","85.5556"
80,0,"421.449","203.428","85.5446"
81,0,"421.443","203.414","85.5483"
82,0,"421.445","203.416","85.5327"
83,0,"421.451","203.407","85.5282"
84,0,"421.458","203.409","85.5232"
85,0,"421.456","203.422","85.5231"
86,0,"421.457","203.423","85.5283"
87,0,"421.463","203.42","85.5382"
88,0,"421.462","203.421","85.5415"
89,0,"421.467","203.422","85.5488"
90,0,"421.468","203.426","85.5409"
91,0,"421.471","203.421","85.538"
92,0,"421.467","203.428","85.5412"
93,0,"421.468","203.431","85.5349"
94,0,"421.465","203.429","85.5295"
95,0,"421.459","203.44","85.516"
96,0,"421.461","203.438","85.4998"
97,0,"421.455","203.445","85.4847"
98,0,"421.456","203.458","85.4775"
99,0,"421.46","203.459","85.4808"
100,0,"421.466","203.466","85.4828"
101,0,"421.476","203.487","85.4793"
102,0,"421.46","203.453","85.4974"
103,0,"421.465","203.452","85.5022"
104,0,"421.477","203.477","85.4905"
105,0,"421.478","203.473","85.4966"
106,0,"421.479","203.484","85.4954"
107,0,"421.48","203.485","85.4961"
108,0,"421.475","203.49","85.4942"
109,0,"421.473","203.497","85.5049"
110,0,"421.47","203.502","85.4951"
111,0,"421.465","203.485","85.5033"
112,0,"421.467","203.486","85.4979"
113,0,"421.467","203.48","85.5105"
114,0,"421.466","203.487","85.5103"
115,0,"421.464","203.466","85.5182"
116,0,"421.466","203.497","85.5058"
117,0,"421.477","203.485","85.502"
118,0,"421.481","203.486","85.4923"
119,0,"421.483","203.472","85.493"
120,0,"421.482","203.49","85.482"
121,0,"421.483","203.493","85.4838"
122,0,"421.48","203.491","85.4917"
123,0,"421.481","203.485","85.5017"
124,0,"421.481","203.482","85.5079"
125,0,"421.482","203.465","85.5229"
126,0,"421.473","203.465","85.5273"
127,0,"421.473","203.458","85.5434"
128,0,"421.476","203.447","85.5586"
129,0,"421.479","203.463","85.5641"
130,0,"421.464","203.436","85.5891"
131,0,"421.465","203.446","85.5859"
132,0,"421.45","203.471","85.5981"
133,0,"421.419","203.493","85.599"
134,0,"421.41","203.553","85.572"
135,0,"421.384","203.561","85.5727"
136,0,"421.37","203.617","85.5426"
137,0,"421.389","203.645","85.5177"
138,0,"421.412","203.652","85.5116"
139,0,"421.452","203.614","85.5139"
140,0,"421.509","203.564","85.5224"
141,0,"421.511","203.47","85.5444"
142,0,"421.531","203.42","85.5285"
143,0,"421.476","203.218","85.5928"
144,0,"421.417","202.993","85.6614"
145,0,"421.364","202.722","85.7433"
146,0,"421.312","202.486","85.7991"
147,0,"421.243","202.24","85.829"
148,0,"421.129","201.947","85.8496"
149,0,"420.993","201.657","85.8345"
150,0,"420.828","201.269","85.8213"
151,0,"420.672","201.004","85.7667"
152,0,"420.546","200.807","85.6997"
153,0,"420.409","200.691","85.6"
154,0,"420.258","200.605","85.4892"
