Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (539)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"454.236","-67.4318","901.763"
2,0,"454.173","-67.4951","901.782"
3,0,"454.103","-67.5492","901.8"
4,0,"454.048","-67.6043","901.829"
5,0,"453.981","-67.6641","901.86"
6,0,"453.9","-67.6963","901.889"
7,0,"453.817","-67.7315","901.939"
8,0,"453.748","-67.7721","901.984"
9,0,"453.686","-67.7987","902.036"
10,0,"453.616","-67.8246","902.089"
11,0,"453.55","-67.8569","902.139"
12,0,"453.477","-67.8866","902.198"
13,0,"453.394","-67.885","902.268"
14,0,"453.305","-67.8965","902.321"
15,0,"453.232","-67.9095","902.378"
16,0,"453.163","-67.9226","902.425"
17,0,"453.104","-67.9464","902.486"
18,0,"453.044","-67.9466","902.559"
19,0,"452.989","-67.9579","902.617"
20,0,"452.933","-67.9603","902.675"
21,0,"452.888","-67.9648","902.725"
22,0,"452.876","-67.9954","902.76"
23,0,"452.832","-67.9935","902.788"
24,0,"452.809","-68.008","902.8"
25,0,"452.784","-68.0242","902.797"
26,0,"452.759","-68.0398","902.801"
27,0,"452.751","-68.0544","902.8"
28,0,"452.735","-68.0581","902.798"
29,0,"452.748","-68.1042","902.786"
30,0,"452.756","-68.1119","902.793"
31,0,"452.77","-68.1066","902.814"
32,0,"452.781","-68.0997","902.84"
33,0,"452.789","-68.09","902.855"
34,0,"452.793","-68.073","902.874"
35,0,"452.79","-68.0375","902.906"
36,0,"452.8","-68.0192","902.928"
37,0,"452.807","-68.0018","902.945"
38,0,"452.82","-67.9928","902.949"
39,0,"452.837","-67.9913","902.951"
40,0,"452.872","-67.9873","902.97"
41,0,"452.899","-67.997","902.995"
42,0,"452.925","-67.989","903.016"
43,0,"452.955","-67.9875","903.038"
44,0,"453.015","-68.027","903.047"
45,0,"453.066","-68.0516","903.051"
46,0,"453.108","-68.0658","903.053"
47,0,"453.15","-68.0884","903.048"
48,0,"453.195","-68.1069","903.036"
49,0,"453.233","-68.1388","903.027"
50,0,"453.287","-68.1535","903.027"
51,0,"453.317","-68.17","903.01"
52,0,"453.358","-68.1914","902.992"
53,0,"453.4","-68.1979","902.984"
54,0,"453.45","-68.1938","902.978"
55,0,"453.487","-68.1786","902.97"
56,0,"453.528","-68.1662","902.961"
57,0,"453.572","-68.1624","902.969"
58,0,"453.627","-68.1685","902.973"
59,0,"453.674","-68.1577","902.982"
60,0,"453.712","-68.1427","903.006"
61,0,"453.764","-68.1318","903.03"
62,0,"453.791","-68.1166","903.05"
63,0,"453.827","-68.1041","903.069"
64,0,"453.851","-68.0735","903.106"
65,0,"453.862","-68.0455","903.123"
66,0,"453.876","-68.0375","903.135"
67,0,"453.892","-68.0252","903.14"
68,0,"453.918","-68.0163","903.142"
69,0,"453.937","-68.0033","903.146"
70,0,"453.952","-67.9744","903.148"
71,0,"453.98","-67.9645","903.146"
72,0,"454.01","-67.9485","903.153"
73,0,"454.036","-67.9242","903.154"
74,0,"454.051","-67.9084","903.139"
75,0,"454.058","-67.8715","903.117"
76,0,"454.074","-67.8449","903.094"
77,0,"454.099","-67.806","903.075"
78,0,"454.11","-67.7665","903.054"
79,0,"454.121","-67.7118","903.03"
80,0,"454.14","-67.6732","903"
81,0,"454.155","-67.624","902.986"
82,0,"454.16","-67.5487","902.984"
83,0,"454.171","-67.4862","902.979"
84,0,"454.157","-67.391","902.977"
85,0,"454.142","-67.2957","902.977"
86,0,"454.137","-67.213","902.982"
87,0,"454.103","-67.0932","902.995"
88,0,"454.073","-67.0034","902.992"
89,0,"454.048","-66.9145","902.988"
90,0,"454.027","-66.8094","902.988"
91,0,"454.021","-66.7472","902.98"
92,0,"453.99","-66.6528","902.996"
93,0,"453.972","-66.598","902.993"
94,0,"453.961","-66.5392","902.975"
95,0,"453.931","-66.4699","902.951"
96,0,"453.917","-66.4282","902.928"
97,0,"453.895","-66.3735","902.912"
98,0,"453.866","-66.3262","902.891"
99,0,"453.845","-66.2814","902.858"
100,0,"453.804","-66.2313","902.817"
101,0,"453.762","-66.1644","902.768"
102,0,"453.739","-66.1217","902.716"
103,0,"453.706","-66.0739","902.666"
104,0,"453.671","-66.0228","902.634"
105,0,"453.66","-65.9919","902.607"
106,0,"453.659","-65.965","902.579"
107,0,"453.641","-65.9249","902.557"
108,0,"453.631","-65.8738","902.536"
109,0,"453.624","-65.8276","902.524"
110,0,"453.627","-65.7791","902.533"
111,0,"453.621","-65.7175","902.553"
112,0,"453.625","-65.6901","902.567"
113,0,"453.607","-65.6521","902.585"
114,0,"453.582","-65.6117","902.605"
115,0,"453.561","-65.5773","902.623"
116,0,"453.545","-65.5562","902.63"
117,0,"453.524","-65.5411","902.642"
118,0,"453.509","-65.5426","902.645"
119,0,"453.503","-65.5607","902.643"
120,0,"453.484","-65.5531","902.658"
121,0,"453.493","-65.569","902.67"
122,0,"453.498","-65.5798","902.681"
123,0,"453.5","-65.5728","902.689"
124,0,"453.513","-65.5826","902.703"
125,0,"453.53","-65.5979","902.704"
126,0,"453.538","-65.5835","902.717"
127,0,"453.555","-65.5962","902.723"
128,0,"453.559","-65.5862","902.722"
129,0,"453.552","-65.5756","902.721"
130,0,"453.538","-65.5295","902.739"
131,0,"453.517","-65.4982","902.735"
132,0,"453.486","-65.4785","902.746"
133,0,"453.432","-65.4236","902.754"
134,0,"453.36","-65.3825","902.782"
135,0,"453.282","-65.3515","902.796"
136,0,"453.162","-65.3374","902.807"
137,0,"452.997","-65.3164","902.818"
138,0,"452.787","-65.3294","902.813"
139,0,"452.518","-65.3037","902.85"
140,0,"452.22","-65.2981","902.918"
141,0,"451.832","-65.3125","902.962"
142,0,"451.402","-65.3801","903.021"
143,0,"450.924","-65.483","903.12"
144,0,"450.3","-65.5631","903.247"
145,0,"449.627","-65.6993","903.402"
146,0,"448.874","-65.9044","903.619"
