Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (589)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"483.826","20.6855","927.306"
2,0,"483.848","20.6155","927.348"
3,0,"483.838","20.5922","927.313"
4,0,"483.831","20.5544","927.314"
5,0,"483.813","20.5264","927.302"
6,0,"483.795","20.4928","927.321"
7,0,"483.766","20.4865","927.301"
8,0,"483.765","20.4459","927.326"
9,0,"483.762","20.41","927.357"
10,0,"483.764","20.3967","927.376"
11,0,"483.773","20.3623","927.41"
12,0,"483.783","20.3149","927.467"
13,0,"483.796","20.2516","927.53"
14,0,"483.804","20.1772","927.604"
15,0,"483.809","20.1234","927.64"
16,0,"483.808","20.0643","927.69"
17,0,"483.811","19.9728","927.746"
18,0,"483.791","19.9155","927.76"
19,0,"483.771","19.8625","927.775"
20,0,"483.763","19.7816","927.818"
21,0,"483.749","19.7368","927.837"
22,0,"483.75","19.6989","927.855"
23,0,"483.75","19.672","927.858"
24,0,"483.759","19.6468","927.851"
25,0,"483.776","19.6178","927.874"
26,0,"483.771","19.6087","927.882"
27,0,"483.782","19.5715","927.922"
28,0,"483.782","19.5274","927.953"
29,0,"483.794","19.4894","927.991"
30,0,"483.8","19.4631","928.03"
31,0,"483.817","19.4306","928.072"
32,0,"483.829","19.4027","928.092"
33,0,"483.855","19.3751","928.109"
34,0,"483.874","19.3276","928.148"
35,0,"483.887","19.3038","928.173"
36,0,"483.91","19.273","928.186"
37,0,"483.942","19.2294","928.211"
38,0,"483.991","19.1824","928.25"
39,0,"484.017","19.1685","928.252"
40,0,"484.044","19.152","928.264"
41,0,"484.058","19.1469","928.257"
42,0,"484.08","19.1401","928.263"
43,0,"484.088","19.1404","928.264"
44,0,"484.102","19.1407","928.266"
45,0,"484.113","19.1459","928.262"
46,0,"484.125","19.1642","928.254"
47,0,"484.142","19.1494","928.267"
48,0,"484.165","19.1803","928.241"
49,0,"484.18","19.2006","928.229"
50,0,"484.206","19.2112","928.242"
51,0,"484.233","19.2439","928.239"
52,0,"484.258","19.2623","928.25"
53,0,"484.274","19.3126","928.23"
54,0,"484.289","19.3511","928.223"
55,0,"484.282","19.4306","928.169"
56,0,"484.288","19.473","928.155"
57,0,"484.297","19.4973","928.172"
58,0,"484.3","19.5733","928.147"
59,0,"484.317","19.623","928.14"
60,0,"484.346","19.6488","928.142"
61,0,"484.368","19.6894","928.123"
62,0,"484.392","19.706","928.129"
63,0,"484.423","19.6997","928.145"
64,0,"484.442","19.7429","928.133"
65,0,"484.459","19.7692","928.125"
66,0,"484.469","19.7908","928.117"
67,0,"484.482","19.8188","928.1"
68,0,"484.489","19.8533","928.069"
69,0,"484.5","19.8888","928.043"
70,0,"484.498","19.9348","928.003"
71,0,"484.509","19.9651","927.993"
72,0,"484.542","19.984","927.993"
73,0,"484.554","20.0155","927.982"
74,0,"484.579","20.0352","927.981"
75,0,"484.602","20.0695","927.984"
76,0,"484.621","20.0828","928.004"
77,0,"484.63","20.1362","928.006"
78,0,"484.64","20.1775","928.022"
79,0,"484.646","20.2327","928.043"
80,0,"484.655","20.2745","928.067"
81,0,"484.648","20.3617","928.04"
82,0,"484.655","20.4072","928.038"
83,0,"484.649","20.4437","928.054"
84,0,"484.651","20.4895","928.046"
85,0,"484.652","20.5223","928.072"
86,0,"484.654","20.5507","928.086"
87,0,"484.662","20.5537","928.121"
88,0,"484.667","20.5893","928.124"
89,0,"484.67","20.6248","928.139"
90,0,"484.668","20.6563","928.14"
91,0,"484.668","20.67","928.155"
92,0,"484.651","20.7242","928.144"
93,0,"484.643","20.7521","928.153"
94,0,"484.624","20.8124","928.141"
95,0,"484.613","20.8508","928.134"
96,0,"484.612","20.9099","928.115"
97,0,"484.61","20.9487","928.112"
98,0,"484.598","21.0125","928.07"
99,0,"484.584","21.0522","928.062"
100,0,"484.59","21.0805","928.069"
101,0,"484.588","21.1173","928.071"
102,0,"484.568","21.1704","928.031"
103,0,"484.541","21.2197","927.997"
104,0,"484.521","21.2492","927.961"
105,0,"484.514","21.2668","927.968"
106,0,"484.51","21.2991","927.968"
107,0,"484.511","21.3318","927.975"
108,0,"484.517","21.3568","927.995"
109,0,"484.524","21.3652","928.009"
110,0,"484.528","21.3756","928.018"
111,0,"484.529","21.3695","928.027"
112,0,"484.521","21.3729","928.027"
113,0,"484.524","21.3698","928.033"
114,0,"484.513","21.3836","928.017"
115,0,"484.499","21.3873","928.006"
116,0,"484.502","21.3794","927.984"
117,0,"484.499","21.3619","927.972"
118,0,"484.493","21.3559","927.945"
119,0,"484.498","21.3282","927.964"
120,0,"484.489","21.3156","927.955"
121,0,"484.491","21.296","927.955"
122,0,"484.487","21.291","927.947"
123,0,"484.481","21.278","927.954"
124,0,"484.472","21.2649","927.965"
125,0,"484.448","21.2565","927.972"
126,0,"484.416","21.2424","927.978"
127,0,"484.364","21.2633","927.959"
128,0,"484.314","21.234","927.993"
129,0,"484.243","21.2502","927.958"
130,0,"484.148","21.2697","927.937"
131,0,"484.05","21.2741","927.891"
132,0,"483.937","21.3157","927.84"
133,0,"483.793","21.4045","927.746"
134,0,"483.636","21.5025","927.647"
135,0,"483.477","21.5986","927.541"
136,0,"483.301","21.687","927.458"
137,0,"483.086","21.7997","927.344"
138,0,"482.826","21.9627","927.153"
139,0,"482.505","22.1779","926.911"
140,0,"482.134","22.4197","926.659"
141,0,"481.645","22.7235","926.384"
142,0,"481.145","22.9651","926.147"
143,0,"480.549","23.3354","925.88"
144,0,"479.922","23.7641","925.589"
145,0,"479.253","24.1099","925.419"
146,0,"478.515","24.4029","925.272"
147,0,"477.698","24.7865","925.085"
148,0,"476.777","25.2111","924.903"
149,0,"475.738","25.597","924.677"
150,0,"474.63","25.9567","924.417"
151,0,"473.413","26.3377","924.116"
152,0,"472.139","26.6462","923.774"
153,0,"470.787","26.8672","923.394"
