Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (538)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"486.437","68.7266","426.275"
2,0,"486.413","68.6893","426.209"
3,0,"486.4","68.6564","426.188"
4,0,"486.406","68.6623","426.132"
5,0,"486.386","68.6145","426.091"
6,0,"486.383","68.5974","426.071"
7,0,"486.363","68.5657","426.061"
8,0,"486.367","68.5429","426.091"
9,0,"486.348","68.4583","426.16"
10,0,"486.323","68.4029","426.199"
11,0,"486.312","68.3872","426.204"
12,0,"486.294","68.3556","426.177"
13,0,"486.288","68.3453","426.163"
14,0,"486.258","68.3342","426.134"
15,0,"486.203","68.3431","426.096"
16,0,"486.13","68.3679","426.1"
17,0,"486.134","68.3821","426.159"
18,0,"486.042","68.3342","426.072"
19,0,"486.044","68.336","426.069"
20,0,"486.061","68.3661","426.093"
21,0,"486.068","68.3589","426.066"
22,0,"486.112","68.3479","426.111"
23,0,"486.113","68.3167","426.085"
24,0,"486.129","68.2874","426.051"
25,0,"486.141","68.2633","426.026"
26,0,"486.157","68.197","426.03"
27,0,"486.184","68.1814","426.037"
28,0,"486.159","68.1139","426.026"
29,0,"486.138","68.0634","426.065"
30,0,"486.056","67.9879","426.008"
31,0,"486.027","67.9776","426.002"
32,0,"486.039","67.9626","426.015"
33,0,"486.031","67.9358","425.941"
34,0,"486.033","67.8875","425.933"
35,0,"486.041","67.9029","425.904"
36,0,"486.023","67.8476","425.893"
37,0,"485.997","67.8097","425.888"
38,0,"486.002","67.7808","425.906"
39,0,"485.963","67.7465","425.904"
40,0,"485.997","67.737","425.91"
41,0,"486.034","67.7313","425.917"
42,0,"486.045","67.7424","425.882"
43,0,"486.039","67.7462","425.849"
44,0,"486.057","67.7453","425.845"
45,0,"486.078","67.7299","425.863"
46,0,"486.101","67.7109","425.891"
47,0,"486.11","67.7062","425.895"
48,0,"486.093","67.7009","425.89"
49,0,"486.092","67.7196","425.873"
50,0,"486.068","67.7282","425.855"
51,0,"486.086","67.7622","425.852"
52,0,"486.112","67.7752","425.889"
53,0,"486.132","67.7817","425.912"
54,0,"486.114","67.7836","425.911"
55,0,"486.112","67.804","425.933"
56,0,"486.146","67.8561","425.924"
57,0,"486.177","67.8843","425.957"
58,0,"486.23","67.9642","425.973"
59,0,"486.247","68.0067","426.014"
60,0,"486.21","68.0354","425.979"
61,0,"486.265","68.0943","426.029"
62,0,"486.278","68.1209","426.02"
63,0,"486.302","68.1664","425.998"
64,0,"486.315","68.2122","425.98"
65,0,"486.327","68.3016","425.92"
66,0,"486.38","68.3748","425.93"
67,0,"486.439","68.4898","425.899"
68,0,"486.433","68.523","425.879"
69,0,"486.467","68.5626","425.897"
70,0,"486.494","68.6469","425.868"
71,0,"486.54","68.7555","425.83"
72,0,"486.578","68.8075","425.869"
73,0,"486.603","68.8789","425.845"
74,0,"486.654","68.9232","425.861"
75,0,"486.69","68.95","425.881"
76,0,"486.709","68.9713","425.894"
77,0,"486.733","68.9923","425.904"
78,0,"486.719","69.0178","425.914"
79,0,"486.701","69.0272","425.914"
80,0,"486.677","69.0554","425.928"
81,0,"486.659","69.0417","425.928"
82,0,"486.659","69.0736","425.916"
83,0,"486.657","69.059","425.899"
84,0,"486.668","69.0851","425.902"
85,0,"486.63","69.041","425.876"
86,0,"486.637","69.0476","425.894"
87,0,"486.659","69.0782","425.928"
88,0,"486.648","69.0495","425.966"
89,0,"486.639","69.0519","425.998"
90,0,"486.642","69.0736","426.013"
91,0,"486.644","69.0928","426.006"
92,0,"486.67","69.1053","426.032"
93,0,"486.687","69.1317","426.006"
94,0,"486.688","69.1662","426.014"
95,0,"486.65","69.147","425.991"
96,0,"486.641","69.1736","425.966"
97,0,"486.63","69.2127","425.979"
98,0,"486.589","69.229","425.899"
99,0,"486.568","69.2839","425.861"
100,0,"486.563","69.3141","425.851"
101,0,"486.574","69.3549","425.853"
102,0,"486.587","69.3634","425.877"
103,0,"486.573","69.3845","425.875"
104,0,"486.564","69.4055","425.88"
105,0,"486.578","69.4286","425.901"
106,0,"486.571","69.4615","425.898"
107,0,"486.537","69.4732","425.913"
108,0,"486.531","69.4987","425.935"
109,0,"486.523","69.5057","425.952"
110,0,"486.523","69.4906","425.974"
111,0,"486.542","69.4933","425.99"
112,0,"486.554","69.4899","425.985"
113,0,"486.564","69.501","425.974"
114,0,"486.578","69.5253","425.96"
115,0,"486.565","69.531","425.947"
116,0,"486.576","69.5418","425.942"
117,0,"486.611","69.5238","425.983"
118,0,"486.602","69.4994","425.958"
119,0,"486.581","69.4522","425.962"
120,0,"486.594","69.4275","425.976"
121,0,"486.625","69.3778","426.025"
122,0,"486.708","69.3493","426.089"
123,0,"486.699","69.2673","426.119"
124,0,"486.712","69.1949","426.138"
125,0,"486.771","69.1809","426.172"
126,0,"486.8","69.0995","426.233"
127,0,"486.86","68.9623","426.316"
128,0,"486.914","68.8814","426.374"
129,0,"486.92","68.7897","426.415"
130,0,"486.981","68.6709","426.545"
131,0,"487.057","68.5194","426.699"
132,0,"487.008","68.3282","426.699"
133,0,"487.001","68.0869","426.773"
134,0,"486.897","67.665","426.804"
135,0,"486.761","67.109","426.843"
136,0,"486.524","66.4572","426.792"
137,0,"486.352","65.6724","426.867"
138,0,"486.138","64.6212","427.028"
139,0,"485.83","63.332","427.118"
140,0,"485.377","61.7197","427.291"
141,0,"485.064","60.0899","427.502"
142,0,"484.65","58.1133","427.822"
143,0,"484.016","55.9264","427.966"
144,0,"483.443","53.6369","428.097"
145,0,"482.863","51.3849","427.971"
146,0,"482.211","49.0219","427.783"
147,0,"481.549","46.6936","427.508"
148,0,"480.908","44.2975","427.391"
149,0,"480.033","42.0544","427.085"
150,0,"479.376","39.9333","427.006"
151,0,"478.679","37.9692","426.783"
152,0,"478.146","36.1764","426.574"
153,0,"477.543","34.5347","426.23"
