Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (529)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"421.577","71.3899","1302.95"
2,0,"421.604","71.3821","1302.95"
3,0,"421.615","71.3925","1302.96"
4,0,"421.631","71.3901","1302.98"
5,0,"421.633","71.402","1303"
6,0,"421.621","71.409","1303.04"
7,0,"421.6","71.432","1303.08"
8,0,"421.605","71.4398","1303.14"
9,0,"421.577","71.4746","1303.21"
10,0,"421.574","71.5126","1303.28"
11,0,"421.555","71.5451","1303.35"
12,0,"421.535","71.5863","1303.41"
13,0,"421.535","71.6126","1303.47"
14,0,"421.502","71.6588","1303.52"
15,0,"421.491","71.6896","1303.57"
16,0,"421.486","71.7162","1303.6"
17,0,"421.484","71.7421","1303.63"
18,0,"421.468","71.776","1303.66"
19,0,"421.482","71.7919","1303.66"
20,0,"421.488","71.8082","1303.67"
21,0,"421.496","71.8268","1303.68"
22,0,"421.495","71.8523","1303.7"
23,0,"421.495","71.8694","1303.7"
24,0,"421.504","71.8704","1303.72"
25,0,"421.521","71.8864","1303.72"
26,0,"421.517","71.8876","1303.74"
27,0,"421.533","71.893","1303.75"
28,0,"421.537","71.8997","1303.77"
29,0,"421.531","71.9169","1303.81"
30,0,"421.556","71.9372","1303.82"
31,0,"421.57","71.944","1303.85"
32,0,"421.577","71.949","1303.88"
33,0,"421.585","71.9607","1303.9"
34,0,"421.603","71.975","1303.92"
35,0,"421.604","71.9774","1303.95"
36,0,"421.623","71.9747","1303.98"
37,0,"421.659","71.9839","1303.98"
38,0,"421.68","71.9741","1304"
39,0,"421.715","71.9739","1304"
40,0,"421.735","71.9723","1304.01"
41,0,"421.772","71.9651","1304.01"
42,0,"421.792","71.9605","1304.02"
43,0,"421.812","71.9627","1304.03"
44,0,"421.844","71.9589","1304.03"
45,0,"421.879","71.9646","1304.03"
46,0,"421.917","71.9639","1304.03"
47,0,"421.955","71.9494","1304.03"
48,0,"421.978","71.9454","1304.04"
49,0,"422.033","71.9348","1304.03"
50,0,"422.066","71.9205","1304.02"
51,0,"422.108","71.9162","1304"
52,0,"422.143","71.9063","1303.99"
53,0,"422.174","71.9017","1303.98"
54,0,"422.187","71.8936","1303.98"
55,0,"422.202","71.8943","1303.99"
56,0,"422.216","71.8996","1304.01"
57,0,"422.223","71.9076","1304.03"
58,0,"422.242","71.9259","1304.04"
59,0,"422.251","71.9526","1304.06"
60,0,"422.261","71.9781","1304.07"
61,0,"422.261","72.0135","1304.1"
62,0,"422.269","72.0535","1304.11"
63,0,"422.266","72.0869","1304.12"
64,0,"422.28","72.1297","1304.11"
65,0,"422.299","72.1699","1304.1"
66,0,"422.287","72.207","1304.1"
67,0,"422.308","72.2652","1304.08"
68,0,"422.315","72.3244","1304.06"
69,0,"422.34","72.3806","1304.03"
70,0,"422.367","72.4408","1304.01"
71,0,"422.379","72.5095","1304"
72,0,"422.399","72.5719","1303.98"
73,0,"422.437","72.6211","1303.95"
74,0,"422.456","72.6693","1303.93"
75,0,"422.461","72.7261","1303.91"
76,0,"422.482","72.764","1303.89"
77,0,"422.5","72.814","1303.88"
78,0,"422.516","72.8649","1303.88"
79,0,"422.54","72.9153","1303.87"
80,0,"422.545","72.9789","1303.87"
81,0,"422.572","73.0238","1303.86"
82,0,"422.575","73.0885","1303.86"
83,0,"422.591","73.1461","1303.87"
84,0,"422.601","73.2097","1303.88"
85,0,"422.62","73.271","1303.88"
86,0,"422.634","73.3358","1303.89"
87,0,"422.643","73.3902","1303.89"
88,0,"422.661","73.4438","1303.89"
89,0,"422.662","73.4759","1303.9"
90,0,"422.679","73.5103","1303.91"
91,0,"422.692","73.5552","1303.92"
92,0,"422.708","73.593","1303.92"
93,0,"422.718","73.6307","1303.92"
94,0,"422.744","73.6716","1303.91"
95,0,"422.743","73.7163","1303.91"
96,0,"422.751","73.7519","1303.89"
97,0,"422.768","73.7869","1303.88"
98,0,"422.785","73.8012","1303.86"
99,0,"422.816","73.8117","1303.81"
100,0,"422.834","73.826","1303.79"
101,0,"422.853","73.8264","1303.77"
102,0,"422.849","73.8125","1303.76"
103,0,"422.86","73.8236","1303.75"
104,0,"422.861","73.8057","1303.77"
105,0,"422.867","73.815","1303.79"
106,0,"422.864","73.8397","1303.82"
107,0,"422.865","73.8365","1303.84"
108,0,"422.869","73.8461","1303.87"
109,0,"422.868","73.8545","1303.89"
110,0,"422.87","73.8749","1303.9"
111,0,"422.863","73.9026","1303.92"
112,0,"422.872","73.9137","1303.92"
113,0,"422.869","73.93","1303.92"
114,0,"422.884","73.9427","1303.92"
115,0,"422.895","73.9581","1303.9"
116,0,"422.897","73.9724","1303.89"
117,0,"422.893","73.9858","1303.88"
118,0,"422.897","73.9993","1303.86"
119,0,"422.903","74.013","1303.85"
120,0,"422.9","74.0272","1303.82"
121,0,"422.908","74.037","1303.8"
122,0,"422.903","74.0421","1303.8"
123,0,"422.901","74.0484","1303.79"
124,0,"422.889","74.0568","1303.79"
125,0,"422.873","74.0639","1303.8"
126,0,"422.841","74.0737","1303.81"
127,0,"422.801","74.0849","1303.82"
128,0,"422.744","74.0882","1303.84"
129,0,"422.673","74.0929","1303.85"
130,0,"422.578","74.0996","1303.85"
131,0,"422.46","74.1196","1303.84"
132,0,"422.289","74.135","1303.86"
133,0,"422.083","74.1634","1303.87"
134,0,"421.856","74.2045","1303.87"
135,0,"421.577","74.2346","1303.86"
136,0,"421.279","74.2748","1303.82"
137,0,"420.88","74.3361","1303.78"
138,0,"420.46","74.4347","1303.7"
139,0,"420.007","74.537","1303.59"
140,0,"419.454","74.6903","1303.45"
141,0,"418.833","74.829","1303.28"
142,0,"418.11","75.0776","1303.11"
143,0,"417.312","75.3315","1302.95"
144,0,"416.438","75.6594","1302.74"
145,0,"415.447","76.032","1302.57"
146,0,"414.354","76.4364","1302.38"
147,0,"413.21","76.8642","1302.13"
