Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1045)",,,"Reconstruction Position - Unlabeled Track (1370)",,,"Reconstruction Position - Unlabeled Track (1373)",,,"Reconstruction Position - Unlabeled Track (1377)",,,"Reconstruction Position - Unlabeled Track (1383)",,,"Reconstruction Position - Unlabeled Track (1402)",,,"Reconstruction Position - Unlabeled Track (1404)",,,"Reconstruction Position - Unlabeled Track (1409)",,,"Reconstruction Position - Unlabeled Track (1430)",,,"Reconstruction Position - Unlabeled Track (1431)",,,"Reconstruction Position - Unlabeled Track (1432)",,,"Reconstruction Position - Unlabeled Track (1433)",,,"Reconstruction Position - Unlabeled Track (1438)",,,"Reconstruction Position - Unlabeled Track (1440)",,,"Reconstruction Position - Unlabeled Track (1442)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"-903.476","-663.248","1032.94","-1366.11","-536.701","976.795","-1197.2","-544.39","1604.13","-1054.45","-620.325","495.58","-1036.52","-687.95","125.298","-999.505","-660.536","1333.74","-1179.06","-541.603","1209.24","-1436.2","-761.724","1027.24","-1001.17","-535.055","869.825","-1369.6","-668.802","145.28","-1306.54","-610.558","485.828","-1406.47","-671.095","1333.46","nan","nan","nan","nan","nan","nan","nan","nan","nan"
2,0,"-903.459","-663.156","1032.93","-1366.15","-536.701","976.804","-1197.26","-544.411","1604.11","-1054.45","-620.323","495.551","-1036.5","-687.955","125.27","-999.429","-660.434","1333.77","-1179.12","-541.579","1209.3","-1436.23","-761.705","1027.22","-1001.19","-534.981","869.824","-1369.61","-668.805","145.283","-1306.53","-610.542","485.828","-1406.47","-671.219","1333.48","nan","nan","nan","nan","nan","nan","nan","nan","nan"
3,0,"-903.444","-663.035","1032.92","-1366.2","-536.677","976.813","-1197.34","-544.456","1604.08","-1054.57","-620.353","495.491","-1036.48","-687.978","125.276","-999.388","-660.371","1333.8","-1179.15","-541.554","1209.35","-1436.26","-761.711","1027.21","-1001.21","-534.894","869.82","-1369.58","-668.784","145.255","-1306.51","-610.534","485.856","-1406.47","-671.324","1333.5","nan","nan","nan","nan","nan","nan","nan","nan","nan"
4,0,"-903.413","-662.909","1032.91","-1366.25","-536.653","976.833","-1197.4","-544.476","1604.06","-1054.57","-620.358","495.473","-1036.46","-687.977","125.296","-999.396","-660.321","1333.8","-1179.21","-541.531","1209.42","-1436.29","-761.744","1027.19","-1001.24","-534.788","869.801","-1369.59","-668.791","145.267","-1306.52","-610.447","485.932","-1406.46","-671.447","1333.52","nan","nan","nan","nan","nan","nan","nan","nan","nan"
5,0,"-903.396","-662.735","1032.86","-1366.31","-536.66","976.886","-1197.5","-544.536","1604.07","-1054.58","-620.365","495.457","-1036.48","-687.968","125.283","-999.384","-660.25","1333.78","-1179.25","-541.501","1209.45","-1436.31","-761.714","1027.21","-1001.27","-534.678","869.791","-1369.59","-668.783","145.275","-1306.51","-610.402","485.937","-1406.48","-671.529","1333.59","nan","nan","nan","nan","nan","nan","nan","nan","nan"
6,0,"-903.402","-662.582","1032.85","-1366.41","-536.658","976.936","-1197.55","-544.572","1604.03","-1054.59","-620.364","495.423","-1036.47","-687.974","125.277","-999.357","-660.175","1333.78","-1179.29","-541.473","1209.52","-1436.34","-761.697","1027.23","-1001.31","-534.573","869.809","-1369.6","-668.767","145.281","-1306.5","-610.392","485.924","-1406.47","-671.641","1333.63","nan","nan","nan","nan","nan","nan","nan","nan","nan"
7,0,"-903.404","-662.497","1032.95","-1366.47","-536.64","977.011","-1197.63","-544.619","1604","-1054.54","-620.349","495.4","-1036.34","-688.109","125.238","-999.375","-660.145","1333.79","-1179.33","-541.438","1209.6","-1436.36","-761.704","1027.24","-1001.36","-534.415","869.825","-1369.6","-668.769","145.302","-1306.51","-610.386","485.906","-1406.48","-671.727","1333.69","nan","nan","nan","nan","nan","nan","nan","nan","nan"
8,0,"-903.393","-662.297","1032.94","-1366.53","-536.601","977.051","-1197.7","-544.666","1603.96","-1054.43","-620.339","495.4","-1036.44","-687.993","125.294","-999.374","-660.108","1333.8","-1179.36","-541.387","1209.65","-1436.39","-761.657","1027.27","-1001.43","-534.344","869.833","-1369.62","-668.771","145.322","-1306.5","-610.37","485.86","-1406.46","-671.818","1333.73","nan","nan","nan","nan","nan","nan","nan","nan","nan"
9,0,"-903.363","-662.063","1032.94","-1366.58","-536.551","977.095","-1197.76","-544.719","1603.94","-1054.42","-620.342","495.378","-1036.3","-688.128","125.261","-999.341","-660.047","1333.85","-1179.38","-541.335","1209.7","-1436.43","-761.635","1027.31","-1001.48","-534.199","869.847","-1369.62","-668.756","145.324","-1306.51","-610.292","485.883","-1406.46","-671.876","1333.78","nan","nan","nan","nan","nan","nan","nan","nan","nan"
10,0,"-903.322","-661.839","1032.97","-1366.66","-536.543","977.168","-1197.82","-544.774","1603.91","-1054.4","-620.363","495.358","-1036.3","-688.148","125.29","-999.289","-659.975","1333.92","-1179.4","-541.288","1209.76","-1436.46","-761.621","1027.32","-1001.53","-534.102","869.882","-1369.61","-668.753","145.31","-1306.56","-610.288","485.843","-1406.46","-671.931","1333.83","nan","nan","nan","nan","nan","nan","nan","nan","nan"
11,0,"-903.302","-661.651","1032.99","-1366.7","-536.485","977.204","-1197.86","-544.811","1603.88","-1054.37","-620.337","495.377","-1036.29","-688.12","125.276","-999.304","-659.941","1333.93","-1179.41","-541.239","1209.8","-1436.48","-761.618","1027.32","-1001.57","-533.954","869.933","-1369.62","-668.758","145.305","-1306.59","-610.237","485.814","-1406.43","-672.007","1333.85","nan","nan","nan","nan","nan","nan","nan","nan","nan"
12,0,"-903.255","-661.466","1033.04","-1366.8","-536.495","977.288","-1197.91","-544.838","1603.88","-1054.35","-620.3","495.384","-1036.29","-688.121","125.232","-999.248","-659.843","1333.96","-1179.44","-541.194","1209.85","-1436.51","-761.587","1027.34","-1001.61","-533.76","870.027","-1369.62","-668.75","145.303","-1306.65","-610.214","485.798","-1406.39","-672.073","1333.86","nan","nan","nan","nan","nan","nan","nan","nan","nan"
13,0,"-903.242","-661.287","1033.07","-1366.87","-536.469","977.351","-1197.95","-544.872","1603.88","-1054.32","-620.218","495.375","-1036.29","-688.117","125.27","-999.264","-659.813","1333.95","-1179.45","-541.15","1209.9","-1436.53","-761.565","1027.38","-1001.67","-533.608","870.079","-1369.64","-668.751","145.317","-1306.69","-610.137","485.819","-1406.38","-672.115","1333.9","nan","nan","nan","nan","nan","nan","nan","nan","nan"
14,0,"-903.178","-661.049","1033.08","-1366.95","-536.438","977.422","-1197.98","-544.902","1603.86","-1054.34","-620.163","495.344","-1036.41","-687.977","125.319","-999.229","-659.732","1333.97","-1179.46","-541.102","1209.96","-1436.54","-761.521","1027.42","-1001.7","-533.417","870.113","-1369.65","-668.736","145.317","-1306.76","-610.115","485.794","-1406.35","-672.155","1333.93","nan","nan","nan","nan","nan","nan","nan","nan","nan"
15,0,"-903.12","-660.808","1033.09","-1367.03","-536.404","977.501","-1198.01","-544.946","1603.87","-1054.34","-620.086","495.348","-1036.44","-687.949","125.311","-999.175","-659.659","1334.03","-1179.47","-541.038","1209.99","-1436.56","-761.491","1027.43","-1001.75","-533.233","870.154","-1369.67","-668.742","145.316","-1306.84","-610.089","485.818","-1406.34","-672.187","1333.98","nan","nan","nan","nan","nan","nan","nan","nan","nan"
16,0,"-903.082","-660.55","1033.05","-1367.1","-536.342","977.556","-1198.04","-544.99","1603.86","-1054.38","-620.029","495.369","-1036.46","-687.938","125.287","-999.152","-659.529","1333.99","-1179.48","-540.99","1210.05","-1436.57","-761.445","1027.46","-1001.76","-532.998","870.194","-1369.67","-668.721","145.307","-1306.9","-610.092","485.798","-1406.32","-672.203","1334.03","nan","nan","nan","nan","nan","nan","nan","nan","nan"
17,0,"-903.026","-660.263","1033.04","-1367.18","-536.304","977.674","-1198.06","-545.023","1603.86","-1054.43","-619.99","495.379","-1036.46","-687.931","125.268","-999.14","-659.475","1334.02","-1179.5","-540.921","1210.09","-1436.6","-761.407","1027.49","-1001.82","-532.826","870.238","-1369.69","-668.719","145.315","-1306.97","-610.031","485.823","-1406.3","-672.233","1334.08","nan","nan","nan","nan","nan","nan","nan","nan","nan"
