Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1045)",,,"Reconstruction Position - Unlabeled Track (1373)",,,"Reconstruction Position - Unlabeled Track (1377)",,,"Reconstruction Position - Unlabeled Track (1404)",,,"Reconstruction Position - Unlabeled Track (1465)",,,"Reconstruction Position - Unlabeled Track (1481)",,,"Reconstruction Position - Unlabeled Track (1509)",,,"Reconstruction Position - Unlabeled Track (1514)",,,"Reconstruction Position - Unlabeled Track (1516)",,,"Reconstruction Position - Unlabeled Track (1538)",,,"Reconstruction Position - Unlabeled Track (1539)",,,"Reconstruction Position - Unlabeled Track (1542)",,,"Reconstruction Position - Unlabeled Track (1548)",,,"Reconstruction Position - Unlabeled Track (1549)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"-950.454","-680.187","1011.6","-1158.32","-571.966","1588.46","-1064.23","-679.89","489.732","-1200.99","-580.403","1208.33","-1421.31","-718.67","1344.72","-1435.01","-762.45","147.722","-1473.22","-788.891","1036.37","-1017.39","-697.913","1324.17","-1053.55","-553.84","853.596","-1352.03","-692.173","473.183","-1033.76","-723.637","127.565","-1369.89","-572.997","991.942","nan","nan","nan","nan","nan","nan"
2,0,"-950.471","-680.427","1011.7","-1158.4","-572.432","1588.51","-1064.2","-679.977","489.766","-1200.97","-580.602","1208.44","-1421.39","-718.913","1344.71","-1435","-762.449","147.708","-1473.39","-788.874","1036.33","-1017.47","-698.323","1324.25","-1053.5","-553.982","853.689","-1352.04","-692.189","473.16","-1033.75","-723.649","127.565","-1369.87","-573.032","992.009","nan","nan","nan","nan","nan","nan"
3,0,"-950.5","-680.764","1011.86","-1158.4","-572.827","1588.47","-1064.19","-680.059","489.777","-1200.97","-580.819","1208.55","-1421.47","-719.148","1344.74","-1435","-762.45","147.67","-1473.7","-789.06","1036.33","-1017.55","-698.753","1324.33","-1053.45","-554.093","853.788","-1352.07","-692.196","473.172","-1033.74","-723.664","127.551","-1369.83","-573.093","992.082","nan","nan","nan","nan","nan","nan"
4,0,"-950.506","-680.972","1011.94","-1158.44","-573.264","1588.46","-1064.16","-680.127","489.75","-1200.96","-581.021","1208.69","-1421.53","-719.403","1344.71","-1435.04","-762.484","147.734","-1473.88","-789.063","1036.27","-1017.62","-699.133","1324.41","-1053.39","-554.211","853.92","-1352.09","-692.222","473.137","-1033.75","-723.676","127.552","-1369.78","-573.149","992.154","nan","nan","nan","nan","nan","nan"
5,0,"-950.488","-681.134","1011.96","-1158.5","-573.645","1588.58","-1064.12","-680.197","489.775","-1200.96","-581.223","1208.82","-1421.59","-719.611","1344.68","-1435.04","-762.506","147.714","-1474.05","-789.059","1036.25","-1017.66","-699.496","1324.48","-1053.37","-554.321","854.062","-1352.09","-692.21","473.143","-1033.75","-723.696","127.553","-1369.75","-573.234","992.249","nan","nan","nan","nan","nan","nan"
6,0,"-950.484","-681.343","1012.04","-1158.58","-574.037","1588.61","-1064.11","-680.232","489.758","-1200.95","-581.443","1208.94","-1421.67","-719.763","1344.69","-1435.03","-762.514","147.689","-1474.21","-789.055","1036.24","-1017.72","-699.892","1324.59","-1053.36","-554.461","854.142","-1352.09","-692.186","473.173","-1033.73","-723.716","127.531","-1369.75","-573.302","992.336","nan","nan","nan","nan","nan","nan"
7,0,"-950.516","-681.57","1012.11","-1158.6","-574.395","1588.64","-1064.08","-680.288","489.762","-1200.94","-581.665","1209.03","-1421.73","-719.962","1344.67","-1435.03","-762.532","147.656","-1474.36","-789.041","1036.22","-1017.72","-700.211","1324.62","-1053.35","-554.592","854.204","-1352.09","-692.2","473.178","-1033.71","-723.748","127.533","-1369.7","-573.405","992.427","nan","nan","nan","nan","nan","nan"
8,0,"-950.521","-681.719","1012.12","-1158.62","-574.779","1588.63","-1064.08","-680.366","489.733","-1200.91","-581.854","1209.05","-1421.77","-720.158","1344.65","-1435.03","-762.532","147.623","-1474.29","-788.82","1036.15","-1017.77","-700.48","1324.65","-1053.33","-554.78","854.297","-1352.07","-692.216","473.165","-1033.74","-723.773","127.49","-1369.66","-573.521","992.523","nan","nan","nan","nan","nan","nan"
9,0,"-950.543","-681.898","1012.14","-1158.67","-575.128","1588.75","-1064.05","-680.4","489.743","-1200.93","-582.038","1209.13","-1421.86","-720.299","1344.68","-1435.03","-762.53","147.611","-1474.38","-788.813","1036.13","-1017.75","-700.742","1324.68","-1053.27","-554.916","854.382","-1352.08","-692.241","473.154","-1033.73","-723.786","127.46","-1369.64","-573.596","992.618","nan","nan","nan","nan","nan","nan"
10,0,"-950.536","-682.077","1012.17","-1158.73","-575.508","1588.83","-1064.04","-680.47","489.735","-1200.95","-582.197","1209.21","-1421.92","-720.431","1344.7","-1435.02","-762.541","147.616","-1474.45","-788.826","1036.11","-1017.79","-701.026","1324.74","-1053.27","-555.127","854.403","-1352.07","-692.28","473.134","-1033.67","-723.784","127.489","-1369.63","-573.651","992.719","nan","nan","nan","nan","nan","nan"
