Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (450)",,,"Reconstruction Position - Unlabeled Track (496)",,,"Reconstruction Position - Unlabeled Track (510)",,,"Reconstruction Position - Unlabeled Track (640)",,,"Reconstruction Position - Unlabeled Track (641)",,,"Reconstruction Position - Unlabeled Track (649)",,,"Reconstruction Position - Unlabeled Track (650)",,,"Reconstruction Position - Unlabeled Track (664)",,,"Reconstruction Position - Unlabeled Track (669)",,,"Reconstruction Position - Unlabeled Track (675)",,,"Reconstruction Position - Unlabeled Track (678)",,,"Reconstruction Position - Unlabeled Track (680)",,,"Reconstruction Position - Unlabeled Track (683)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"790.741","-3.86411","1343.83","851.035","104.325","986.788","620.766","-103.528","1234.49","427.382","-32.4523","1309.3","490.8","-42.4719","423.698","614.049","-135.077","1560.99","325.3","62.6706","977.944","440.503","-157.882","865.008","420.039","70.9375","86.9338","781.653","100.184","79.1588","789.003","-156.407","979.67","737.603","-18.6833","431.991","451.865","-10.7869","956.209"
2,0,"790.657","-3.82084","1343.87","851.014","104.297","986.843","620.732","-103.63","1234.56","427.308","-32.6392","1309.28","490.751","-42.5531","423.684","614.021","-135.099","1561.01","325.204","62.4273","977.936","440.576","-158.064","864.994","420.039","70.9251","86.9327","781.653","100.153","79.1938","789.042","-156.444","979.827","737.597","-18.6969","432.012","451.856","-10.8228","956.191"
3,0,"790.571","-3.78821","1343.94","850.985","104.269","986.905","620.709","-103.737","1234.61","427.251","-32.821","1309.26","490.724","-42.6303","423.685","613.99","-135.112","1561.02","325.114","62.1421","977.899","440.673","-158.246","864.975","420.035","70.9131","86.9324","781.648","100.158","79.2006","789.091","-156.469","979.974","737.548","-18.6708","431.983","451.792","-10.997","956.175"
4,0,"790.495","-3.73269","1343.99","850.956","104.251","986.959","620.694","-103.854","1234.65","427.187","-33.0174","1309.24","490.698","-42.7052","423.679","613.953","-135.132","1561.04","324.98","61.8648","977.895","440.764","-158.422","864.966","420.032","70.9031","86.9348","781.637","100.161","79.2092","789.122","-156.508","980.116","737.517","-18.6721","431.994","451.678","-11.2778","956.191"
5,0,"790.424","-3.70081","1344.07","850.945","104.2","987.04","620.674","-103.961","1234.68","427.119","-33.2135","1309.23","490.717","-42.6894","423.629","613.906","-135.156","1561.06","324.863","61.5716","977.873","440.858","-158.615","864.962","420.034","70.8923","86.9297","781.624","100.163","79.2153","789.159","-156.546","980.237","737.484","-18.6739","431.999","451.624","-11.4315","956.175"
6,0,"790.326","-3.66182","1344.12","850.924","104.169","987.108","620.674","-104.069","1234.71","427.069","-33.4066","1309.24","490.702","-42.7543","423.633","613.858","-135.173","1561.07","324.715","61.2923","977.894","440.955","-158.803","864.966","420.035","70.8791","86.9363","781.614","100.153","79.2303","789.208","-156.571","980.339","737.458","-18.6549","431.984","451.567","-11.5436","956.155"
7,0,"790.188","-3.65862","1344.16","850.912","104.136","987.18","620.658","-104.16","1234.74","427.001","-33.6025","1309.25","490.688","-42.7996","423.619","613.798","-135.195","1561.08","324.57","60.9894","977.899","441.033","-158.991","864.985","420.02","70.8755","86.9485","781.614","100.147","79.2478","789.269","-156.604","980.449","737.432","-18.6387","431.99","451.511","-11.6299","956.149"
8,0,"790.105","-3.61753","1344.24","850.908","104.108","987.246","620.628","-104.257","1234.76","426.918","-33.8181","1309.27","490.66","-42.8568","423.628","613.736","-135.215","1561.1","324.427","60.6786","977.903","441.106","-159.187","865.008","420.016","70.8722","86.9571","781.603","100.143","79.2596","789.335","-156.65","980.557","737.352","-18.605","431.991","451.466","-11.7329","956.15"
9,0,"790.06","-3.57107","1344.33","850.908","104.087","987.313","620.594","-104.343","1234.82","426.83","-34.035","1309.3","490.626","-42.9084","423.623","613.667","-135.241","1561.13","324.288","60.379","977.908","441.197","-159.377","865.035","420.005","70.8691","86.9706","781.588","100.148","79.2778","789.365","-156.686","980.645","737.332","-18.5671","432.003","451.413","-11.8664","956.15"
10,0,"789.952","-3.54152","1344.38","850.899","104.071","987.374","620.56","-104.428","1234.85","426.743","-34.2511","1309.34","490.605","-42.9475","423.631","613.6","-135.265","1561.15","324.168","60.1078","977.959","441.279","-159.58","865.049","419.99","70.8509","86.9774","781.58","100.153","79.2935","789.442","-156.716","980.757","737.317","-18.546","432.03","451.366","-12.0373","956.165"
11,0,"789.814","-3.53955","1344.4","850.895","104.067","987.427","620.525","-104.525","1234.91","426.624","-34.4674","1309.4","490.562","-43","423.654","613.538","-135.289","1561.16","324.052","59.8135","977.998","441.352","-159.775","865.056","419.964","70.8217","87.0035","781.575","100.163","79.3125","789.509","-156.748","980.874","737.286","-18.5028","432.041","451.325","-12.152","956.165"
12,0,"789.701","-3.50522","1344.44","850.892","104.062","987.485","620.487","-104.619","1234.98","426.557","-34.6686","1309.45","490.531","-43.0313","423.651","613.466","-135.313","1561.18","323.928","59.5212","978","441.434","-159.968","865.069","419.957","70.8073","87.0188","781.569","100.168","79.3202","789.601","-156.77","980.98","737.262","-18.4548","432.032","451.277","-12.3162","956.172"
13,0,"789.563","-3.49057","1344.46","850.883","104.049","987.549","620.448","-104.708","1235.05","426.486","-34.8616","1309.5","490.506","-43.0596","423.662","613.4","-135.336","1561.19","323.814","59.2272","978.024","441.501","-160.164","865.097","419.951","70.7954","87.0236","781.561","100.162","79.3406","789.663","-156.797","981.074","737.199","-18.4134","432.024","451.257","-12.4001","956.177"
14,0,"789.467","-3.4547","1344.52","850.878","104.051","987.601","620.406","-104.796","1235.11","426.42","-35.056","1309.54","490.473","-43.083","423.657","613.338","-135.358","1561.18","323.681","58.8985","978.019","441.592","-160.366","865.115","419.951","70.7809","87.0239","781.542","100.162","79.3418","789.713","-156.815","981.168","737.157","-18.3816","432.022","451.206","-12.5017","956.198"
15,0,"789.352","-3.41283","1344.57","850.864","104.041","987.657","620.368","-104.903","1235.18","426.349","-35.2572","1309.58","490.409","-43.1299","423.652","613.272","-135.377","1561.18","323.542","58.558","978.023","441.649","-160.564","865.169","419.953","70.7789","87.0326","781.534","100.152","79.3503","789.8","-156.823","981.29","737.11","-18.3638","432.002","451.195","-12.6463","956.194"
16,0,"789.237","-3.37005","1344.62","850.847","104.029","987.711","620.321","-105.004","1235.24","426.257","-35.4586","1309.62","490.354","-43.1826","423.647","613.203","-135.39","1561.17","323.362","58.2067","978.068","441.71","-160.766","865.194","419.953","70.7775","87.0426","781.531","100.139","79.3573","789.827","-156.832","981.387","737.078","-18.3504","432.009","451.124","-12.8461","956.211"
17,0,"789.12","-3.31593","1344.67","850.847","104.011","987.781","620.265","-105.087","1235.31","426.183","-35.6498","1309.66","490.33","-43.2315","423.64","613.132","-135.398","1561.15","323.194","57.8975","978.102","441.771","-160.981","865.218","419.954","70.772","87.0411","781.527","100.12","79.3862","789.851","-156.842","981.509","737.059","-18.306","432.004","451.111","-12.9264","956.201"
18,0,"789.017","-3.25689","1344.74","850.822","104.007","987.831","620.225","-105.16","1235.38","426.105","-35.8218","1309.71","490.279","-43.31","423.638","613.067","-135.406","1561.14","323.042","57.5591","978.119","441.827","-161.21","865.233","419.954","70.7574","87.0529","781.529","100.117","79.4083","789.854","-156.857","981.637","737.016","-18.248","432.021","451.081","-13.1212","956.216"
19,0,"788.915","-3.18909","1344.79","850.806","103.992","987.899","620.178","-105.237","1235.45","426.009","-35.984","1309.74","490.232","-43.4739","423.706","613.002","-135.411","1561.14","322.861","57.2349","978.17","441.863","-161.445","865.255","419.953","70.7484","87.0687","781.525","100.123","79.4095","789.886","-156.865","981.753","736.992","-18.2135","432.061","450.992","-13.3862","956.245"
20,0,"788.795","-3.11199","1344.85","850.777","103.971","987.958","620.131","-105.322","1235.52","425.905","-36.1407","1309.79","490.222","-43.5393","423.708","612.923","-135.417","1561.14","322.716","56.9304","978.213","441.877","-161.654","865.262","419.951","70.7128","87.0913","781.515","100.121","79.4368","789.926","-156.862","981.912","736.902","-18.1314","432.077","450.941","-13.5408","956.263"
21,0,"788.677","-3.05274","1344.91","850.747","103.965","988.03","620.073","-105.387","1235.6","425.817","-36.2796","1309.83","490.225","-43.6008","423.714","612.854","-135.411","1561.15","322.565","56.6045","978.21","441.877","-161.914","865.309","419.944","70.7014","87.1025","781.511","100.127","79.4526","789.941","-156.866","982.042","736.873","-18.0652","432.116","450.925","-13.653","956.254"
22,0,"788.566","-2.98683","1344.97","850.7","103.955","988.077","620.014","-105.457","1235.67","425.712","-36.4134","1309.89","490.224","-43.6719","423.71","612.782","-135.408","1561.17","322.403","56.3115","978.23","441.877","-162.149","865.339","419.933","70.6775","87.1265","781.514","100.12","79.4813","789.988","-156.854","982.184","736.811","-18.0033","432.152","450.892","-13.7824","956.253"
23,0,"788.465","-2.93908","1345.02","850.646","103.972","988.12","619.95","-105.511","1235.72","425.601","-36.544","1309.94","490.229","-43.7119","423.691","612.711","-135.404","1561.19","322.27","56.0122","978.226","441.862","-162.364","865.374","419.919","70.6541","87.1486","781.498","100.139","79.4762","789.971","-156.854","982.319","736.77","-17.9504","432.138","450.877","-13.9021","956.275"
24,0,"788.369","-2.89284","1345.08","850.597","103.971","988.157","619.879","-105.573","1235.79","425.498","-36.68","1309.98","490.243","-43.7741","423.68","612.641","-135.394","1561.2","322.111","55.7129","978.221","441.854","-162.602","865.415","419.904","70.6364","87.1621","781.485","100.152","79.4781","789.991","-156.842","982.471","736.737","-17.9256","432.146","450.868","-13.981","956.268"
25,0,"788.273","-2.86821","1345.15","850.533","103.97","988.208","619.796","-105.639","1235.84","425.376","-36.8163","1310.02","490.243","-43.8728","423.694","612.573","-135.391","1561.22","321.968","55.4306","978.207","441.836","-162.851","865.464","419.883","70.6229","87.1711","781.469","100.174","79.4594","789.972","-156.833","982.601","736.686","-17.9078","432.121","450.844","-14.07","956.275"
26,0,"788.129","-2.85093","1345.16","850.464","103.965","988.272","619.717","-105.713","1235.89","425.264","-36.9427","1310.06","490.241","-43.9624","423.69","612.502","-135.384","1561.22","321.819","55.1271","978.212","441.825","-163.1","865.528","419.89","70.6342","87.1653","781.46","100.162","79.4622","789.974","-156.819","982.742","736.679","-17.9228","432.115","450.829","-14.1372","956.274"
27,0,"788.042","-2.83857","1345.24","850.393","103.96","988.331","619.647","-105.784","1235.95","425.137","-37.0768","1310.09","490.24","-44.0425","423.67","612.425","-135.376","1561.22","321.67","54.8262","978.18","441.851","-163.351","865.576","419.88","70.6176","87.1658","781.452","100.176","79.4339","789.942","-156.824","982.89","736.665","-17.935","432.083","450.803","-14.2139","956.281"
28,0,"787.873","-2.8423","1345.27","850.322","103.955","988.39","619.579","-105.86","1236.01","425.054","-37.1918","1310.1","490.26","-44.1428","423.659","612.34","-135.363","1561.22","321.513","54.5307","978.19","441.859","-163.59","865.658","419.874","70.6062","87.1442","781.439","100.188","79.4226","789.894","-156.829","983.048","736.675","-17.9685","432.059","450.78","-14.2817","956.279"
29,0,"787.755","-2.83362","1345.35","850.256","103.938","988.458","619.5","-105.93","1236.06","424.974","-37.3076","1310.1","490.261","-44.2564","423.662","612.246","-135.351","1561.21","321.366","54.2411","978.201","441.86","-163.81","865.705","419.874","70.5939","87.1369","781.435","100.187","79.4071","789.865","-156.836","983.237","736.685","-17.9843","432.051","450.759","-14.3235","956.28"
30,0,"787.65","-2.79458","1345.43","850.193","103.907","988.525","619.423","-105.998","1236.12","424.881","-37.4154","1310.11","490.267","-44.3553","423.673","612.135","-135.337","1561.2","321.208","53.9507","978.207","441.846","-164.034","865.751","419.861","70.5634","87.1275","781.451","100.16","79.4098","789.806","-156.846","983.43","736.692","-17.9858","432.047","450.699","-14.4279","956.276"
31,0,"787.536","-2.76382","1345.53","850.133","103.861","988.591","619.344","-106.064","1236.17","424.778","-37.5098","1310.12","490.294","-44.3748","423.626","612.014","-135.318","1561.2","321.046","53.6668","978.211","441.807","-164.28","865.797","419.856","70.5609","87.1281","781.459","100.144","79.4121","789.772","-156.847","983.626","736.713","-17.9832","432.067","450.682","-14.4368","956.258"
32,0,"787.395","-2.73916","1345.59","850.082","103.833","988.655","619.255","-106.123","1236.23","424.673","-37.5971","1310.13","490.335","-44.4065","423.624","611.89","-135.29","1561.21","320.885","53.372","978.183","441.748","-164.528","865.834","419.848","70.5548","87.1353","781.463","100.145","79.4219","789.735","-156.853","983.84","736.718","-17.9446","432.067","450.658","-14.466","956.242"
33,0,"787.265","-2.7246","1345.67","850.029","103.768","988.728","619.176","-106.164","1236.29","424.54","-37.6826","1310.15","490.344","-44.4437","423.612","611.754","-135.268","1561.23","320.752","53.1176","978.185","441.671","-164.785","865.88","419.848","70.5499","87.1399","781.45","100.156","79.4237","789.614","-156.89","984.055","736.718","-17.9142","432.107","450.584","-14.5465","956.245"
34,0,"787.131","-2.71433","1345.75","849.991","103.702","988.813","619.088","-106.228","1236.34","424.418","-37.7586","1310.16","490.367","-44.447","423.605","611.612","-135.243","1561.25","320.591","52.8384","978.153","441.597","-165.025","865.904","419.843","70.5479","87.1527","781.457","100.162","79.4245","789.49","-156.936","984.282","736.748","-17.8975","432.155","450.534","-14.6114","956.239"
35,0,"786.977","-2.70205","1345.82","849.944","103.605","988.896","618.983","-106.271","1236.38","424.278","-37.8395","1310.18","490.4","-44.444","423.62","611.467","-135.217","1561.27","320.443","52.5932","978.128","441.514","-165.239","865.915","419.849","70.5544","87.1558","781.45","100.182","79.408","789.386","-156.983","984.475","736.743","-17.852","432.161","450.466","-14.6866","956.227"
36,0,"786.816","-2.67677","1345.89","849.908","103.517","988.973","618.88","-106.32","1236.43","424.15","-37.9064","1310.18","490.411","-44.451","423.619","611.311","-135.191","1561.28","320.281","52.3481","978.101","441.432","-165.454","865.918","419.854","70.5563","87.145","781.433","100.2","79.4014","789.317","-157.037","984.655","736.732","-17.7981","432.145","450.425","-14.7252","956.211"
37,0,"786.683","-2.65151","1346","849.846","103.407","989.043","618.778","-106.377","1236.49","423.995","-37.9874","1310.18","490.414","-44.4406","423.622","611.139","-135.165","1561.28","320.121","52.1075","978.083","441.352","-165.679","865.963","419.853","70.5595","87.1378","781.419","100.218","79.3861","789.25","-157.104","984.822","736.725","-17.7471","432.118","450.396","-14.7669","956.194"
38,0,"786.497","-2.64606","1346.07","849.791","103.289","989.112","618.662","-106.425","1236.54","423.857","-38.0636","1310.18","490.415","-44.431","423.62","610.955","-135.129","1561.27","319.93","51.8943","978.084","441.302","-165.853","865.96","419.862","70.5687","87.1279","781.421","100.214","79.384","789.115","-157.212","984.997","736.699","-17.7067","432.097","450.339","-14.837","956.204"
39,0,"786.327","-2.6379","1346.15","849.751","103.15","989.176","618.55","-106.47","1236.59","423.712","-38.1407","1310.17","490.407","-44.429","423.626","610.772","-135.102","1561.26","319.757","51.6484","978.06","441.243","-166.026","865.967","419.866","70.5738","87.1194","781.416","100.213","79.3743","789.044","-157.31","985.174","736.692","-17.6867","432.093","450.219","-15.0713","956.229"
40,0,"786.152","-2.61724","1346.23","849.696","103.006","989.219","618.431","-106.505","1236.64","423.566","-38.2052","1310.17","490.391","-44.3907","423.606","610.595","-135.075","1561.24","319.59","51.4297","978.015","441.168","-166.201","865.961","419.864","70.5869","87.1134","781.411","100.214","79.3764","788.919","-157.434","985.323","736.677","-17.6519","432.075","450.184","-15.0884","956.203"
41,0,"785.99","-2.59457","1346.31","849.662","102.843","989.284","618.305","-106.528","1236.68","423.414","-38.2767","1310.16","490.365","-44.3817","423.605","610.425","-135.046","1561.23","319.423","51.2016","977.984","441.086","-166.384","865.941","419.866","70.5928","87.1123","781.414","100.217","79.3754","788.859","-157.546","985.49","736.629","-17.6247","432.07","450.105","-15.1171","956.192"
42,0,"785.794","-2.58456","1346.36","849.618","102.645","989.337","618.172","-106.567","1236.72","423.273","-38.3254","1310.16","490.322","-44.3549","423.6","610.269","-135.019","1561.22","319.261","50.9684","977.911","441.001","-166.569","865.935","419.864","70.5935","87.1187","781.409","100.216","79.3765","791.035","-156.693","987.384","736.599","-17.6103","432.074","450.034","-15.1527","956.174"
43,0,"785.616","-2.56979","1346.43","849.566","102.471","989.373","618.042","-106.606","1236.78","423.118","-38.3875","1310.15","490.27","-44.33","423.593","610.099","-134.987","1561.21","319.127","50.8067","977.888","440.911","-166.748","865.93","419.858","70.5886","87.0974","781.405","100.215","79.3835","790.843","-156.86","987.531","736.578","-17.6053","432.073","450.163","-14.59","955.837"
44,0,"785.435","-2.55532","1346.5","849.499","102.273","989.391","617.911","-106.643","1236.82","422.962","-38.4496","1310.15","490.173","-44.3333","423.611","609.928","-134.951","1561.21","318.984","50.635","977.86","440.785","-166.946","865.936","419.841","70.5756","87.0831","781.408","100.218","79.3831","790.734","-157.016","987.741","736.545","-17.5822","432.06","450.213","-14.2884","955.645"
45,0,"785.239","-2.54686","1346.55","849.436","102.073","989.421","617.788","-106.677","1236.88","422.796","-38.5066","1310.15","490.062","-44.3654","423.646","609.755","-134.911","1561.21","318.83","50.4427","977.832","440.693","-167.102","865.933","419.829","70.5891","87.0706","781.406","100.214","79.3974","790.588","-157.159","987.933","736.437","-17.5349","432.048","450.209","-14.1553","955.559"
46,0,"785.054","-2.51966","1346.62","849.372","101.882","989.435","617.656","-106.675","1236.92","422.629","-38.5586","1310.16","489.94","-44.3614","423.639","609.584","-134.867","1561.21","318.664","50.2491","977.789","440.61","-167.216","865.917","419.81","70.5986","87.0764","781.395","100.221","79.414","790.484","-157.304","988.156","736.397","-17.532","432.057","450.281","-13.8831","955.406"
47,0,"784.856","-2.47905","1346.68","849.294","101.666","989.455","617.534","-106.676","1236.97","422.455","-38.6017","1310.17","489.812","-44.3779","423.652","609.42","-134.825","1561.21","318.491","50.0483","977.754","440.515","-167.334","865.892","419.811","70.624","87.0598","781.397","100.214","79.4314","790.374","-157.457","988.395","736.342","-17.5141","432.061","450.451","-13.5382","955.208"
48,0,"784.674","-2.43827","1346.75","849.217","101.469","989.48","617.392","-106.668","1237.01","422.299","-38.6494","1310.16","489.708","-44.3835","423.653","609.244","-134.78","1561.21","318.307","49.866","977.73","440.424","-167.461","865.876","419.803","70.6459","87.0522","781.388","100.23","79.4367","790.062","-157.717","988.454","736.31","-17.5197","432.079","452.08","-11.5819","954.115"
49,0,"784.484","-2.38517","1346.8","849.136","101.257","989.469","617.281","-106.667","1237.06","422.153","-38.693","1310.17","489.577","-44.4101","423.662","609.065","-134.73","1561.19","318.143","49.6971","977.715","440.325","-167.578","865.882","419.803","70.6525","87.0352","781.385","100.217","79.4481","789.904","-157.904","988.65","736.274","-17.513","432.082","451.968","-11.6623","954.135"
50,0,"784.284","-2.33744","1346.83","849.036","101.061","989.473","617.166","-106.669","1237.1","422.015","-38.7412","1310.16","489.429","-44.4043","423.64","608.878","-134.676","1561.17","317.972","49.5424","977.685","440.218","-167.681","865.884","419.797","70.6589","87.0125","781.383","100.217","79.4624","789.886","-158.025","988.981","736.249","-17.5308","432.101","451.837","-11.7739","954.149"
51,0,"784.161","-2.2427","1346.91","848.922","100.867","989.467","617.076","-106.682","1237.15","421.894","-38.8017","1310.15","489.293","-44.4003","423.628","608.702","-134.621","1561.16","317.793","49.3711","977.67","440.121","-167.78","865.882","419.786","70.6584","86.9989","781.38","100.213","79.4862","789.757","-158.187","989.178","736.231","-17.5535","432.118","451.698","-11.8972","954.145"
52,0,"784","-2.15192","1346.94","848.795","100.698","989.447","616.985","-106.703","1237.19","421.778","-38.8675","1310.14","489.178","-44.3869","423.622","608.529","-134.565","1561.16","317.612","49.197","977.646","440.008","-167.864","865.897","419.774","70.6543","86.9783","781.368","100.241","79.4749","789.667","-158.339","989.401","736.214","-17.5712","432.135","451.58","-12.0067","954.131"
53,0,"783.882","-2.07135","1346.99","848.661","100.539","989.435","616.927","-106.711","1237.24","421.685","-38.9211","1310.14","489.099","-44.3706","423.62","608.367","-134.52","1561.17","317.418","49.0404","977.643","439.904","-167.949","865.936","419.755","70.6553","86.968","781.368","100.234","79.5001","789.561","-158.504","989.608","736.204","-17.5968","432.162","451.447","-12.1271","954.122"
54,0,"783.764","-1.97279","1347.02","848.539","100.394","989.414","616.881","-106.719","1237.27","421.585","-38.9929","1310.16","488.98","-44.4751","423.688","608.222","-134.465","1561.19","317.218","48.9026","977.699","439.818","-168.016","865.981","419.753","70.6654","86.9472","781.361","100.232","79.5049","789.231","-158.743","989.601","736.192","-17.6172","432.174","451.328","-12.2427","954.126"
55,0,"783.654","-1.88902","1347.06","848.402","100.265","989.384","616.839","-106.721","1237.31","421.494","-39.0466","1310.18","488.925","-44.4689","423.683","608.075","-134.398","1561.21","317.009","48.7753","977.747","439.752","-168.063","866.034","419.747","70.6729","86.938","781.351","100.228","79.5261","789.115","-158.883","989.808","736.21","-17.6579","432.195","451.201","-12.3486","954.154"
56,0,"783.553","-1.78211","1347.1","848.27","100.147","989.366","616.794","-106.724","1237.36","421.406","-39.1107","1310.22","488.888","-44.4526","423.669","607.937","-134.322","1561.25","316.789","48.6497","977.841","439.681","-168.092","866.091","419.731","70.6752","86.9417","781.336","100.226","79.5443","789.269","-158.895","990.277","736.185","-17.6847","432.207","451.105","-12.4409","954.177"
57,0,"783.446","-1.6619","1347.12","848.141","100.078","989.335","616.769","-106.734","1237.44","421.314","-39.1797","1310.28","488.834","-44.4694","423.667","607.812","-134.24","1561.29","316.588","48.5276","977.909","439.606","-168.113","866.133","419.722","70.6852","86.9288","781.331","100.209","79.5525","789.134","-158.991","990.453","736.171","-17.7055","432.23","451.011","-12.5315","954.205"
58,0,"783.368","-1.54762","1347.16","848.027","99.9958","989.305","616.739","-106.729","1237.51","421.237","-39.2404","1310.34","488.764","-44.508","423.654","607.702","-134.15","1561.33","316.416","48.3767","977.999","439.532","-168.148","866.174","419.694","70.6712","86.924","781.32","100.208","79.5676","789.008","-159.072","990.63","736.172","-17.7395","432.26","450.912","-12.6329","954.243"
59,0,"783.294","-1.41021","1347.19","847.915","99.9337","989.289","616.707","-106.731","1237.6","421.172","-39.2863","1310.42","488.708","-44.5834","423.686","607.614","-134.058","1561.37","316.254","48.2526","978.065","439.444","-168.159","866.219","419.681","70.6651","86.9254","781.314","100.211","79.5724","788.67","-159.217","990.583","736.147","-17.7525","432.271","450.832","-12.7322","954.284"
