Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (712)",,,"Reconstruction Position - Unlabeled Track (714)",,,"Reconstruction Position - Unlabeled Track (715)",,,"Reconstruction Position - Unlabeled Track (718)",,,"Reconstruction Position - Unlabeled Track (719)",,,"Reconstruction Position - Unlabeled Track (726)",,,"Reconstruction Position - Unlabeled Track (739)",,,"Reconstruction Position - Unlabeled Track (740)",,,"Reconstruction Position - Unlabeled Track (741)",,,"Reconstruction Position - Unlabeled Track (742)",,,"Reconstruction Position - Unlabeled Track (743)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"505.428","32.1923","420.29","618.415","-56.2578","1556.34","786.309","47.6461","427.973","858.991","171.645","81.047","804.744","87.8061","1357.77","636.869","-27.7654","1240.13","435.945","155.041","85.6194","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
2,0,"505.295","32.1806","420.278","618.303","-56.3017","1556.35","786.243","47.6247","427.96","858.977","171.654","81.0588","804.586","87.7527","1357.75","636.768","-27.8162","1240.11","435.925","155.033","85.6087","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
3,0,"505.137","32.0716","420.328","618.194","-56.3458","1556.35","786.168","47.6099","427.945","858.969","171.661","81.0645","804.432","87.6867","1357.74","636.709","-27.8469","1240.06","435.908","155.002","85.5916","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
4,0,"505.02","32.0508","420.343","618.074","-56.3945","1556.36","786.078","47.5871","427.936","858.955","171.674","81.0665","804.255","87.6111","1357.71","636.543","-27.9225","1240.05","435.895","155","85.5786","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
5,0,"504.856","31.9775","420.383","617.964","-56.4508","1556.37","785.952","47.589","427.915","858.937","171.692","81.0771","804.087","87.5493","1357.69","636.111","-28.1503","1240.15","435.885","155.006","85.5633","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
6,0,"504.755","32.0281","420.379","617.848","-56.5061","1556.38","785.896","47.577","427.907","858.931","171.704","81.1112","803.902","87.4799","1357.67","635.932","-28.2545","1240.14","435.863","155.007","85.5598","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
7,0,"504.603","32.0322","420.4","617.729","-56.5719","1556.39","785.831","47.5655","427.919","858.921","171.724","81.1428","803.704","87.4082","1357.64","636.004","-28.2283","1240.04","435.849","155.02","85.5487","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
8,0,"504.497","32.0988","420.373","617.606","-56.6494","1556.4","785.743","47.5546","427.935","858.904","171.728","81.1629","803.51","87.328","1357.64","635.851","-28.3036","1240.01","435.822","155.027","85.5465","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
9,0,"504.349","32.0853","420.39","617.478","-56.7262","1556.41","785.67","47.5344","427.943","858.891","171.739","81.1879","803.292","87.2433","1357.63","635.655","-28.411","1240","435.794","155.034","85.539","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
10,0,"504.237","32.097","420.375","617.338","-56.815","1556.4","785.591","47.5141","427.943","858.878","171.723","81.2104","803.086","87.1613","1357.63","635.424","-28.5414","1240.01","435.778","155.033","85.5414","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
11,0,"504.109","32.0956","420.367","617.181","-56.9146","1556.39","785.496","47.5012","427.926","858.87","171.731","81.225","802.862","87.0834","1357.62","634.844","-28.8548","1240.15","435.756","155.025","85.5345","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
12,0,"503.983","32.0753","420.372","617.021","-57.0203","1556.39","785.448","47.477","427.913","858.849","171.749","81.2332","802.642","87.0089","1357.61","634.714","-28.9148","1240.11","435.736","155.026","85.5179","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
13,0,"503.858","32.0673","420.378","616.854","-57.1449","1556.39","785.375","47.4391","427.907","858.846","171.744","81.2482","802.413","86.9318","1357.61","634.652","-28.9686","1240.04","435.72","155.029","85.5037","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
14,0,"503.697","32.0165","420.418","616.684","-57.2654","1556.38","785.238","47.421","427.879","858.838","171.766","81.2611","802.171","86.8311","1357.59","634.448","-29.0925","1240.04","435.699","155.014","85.4953","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
15,0,"503.553","31.9849","420.451","616.502","-57.4032","1556.38","785.128","47.4121","427.826","858.835","171.78","81.2673","801.943","86.7407","1357.59","634.394","-29.1386","1239.95","435.681","155.016","85.4801","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
16,0,"503.437","32.0306","420.441","616.32","-57.5393","1556.38","785.034","47.3872","427.814","858.839","171.791","81.2703","801.704","86.6365","1357.57","634.164","-29.294","1239.91","435.667","155.021","85.4698","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
17,0,"503.271","32.0264","420.468","616.115","-57.6887","1556.38","784.943","47.3568","427.806","858.839","171.805","81.2781","801.47","86.5158","1357.57","633.937","-29.431","1239.89","435.653","155.021","85.4534","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
18,0,"503.128","32.0204","420.485","615.894","-57.845","1556.37","784.859","47.3365","427.793","858.833","171.819","81.3043","801.218","86.3979","1357.55","633.478","-29.7012","1239.95","435.64","155.023","85.4476","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
19,0,"502.987","32.0274","420.488","615.662","-58.0004","1556.36","784.768","47.3109","427.792","858.807","171.806","81.3499","800.965","86.2714","1357.55","633.281","-29.804","1239.88","435.634","155.039","85.4301","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
20,0,"502.826","32.0539","420.48","615.411","-58.1641","1556.36","784.679","47.2808","427.807","858.798","171.801","81.4136","800.7","86.1588","1357.56","633.218","-29.8278","1239.78","435.613","155.043","85.4226","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
21,0,"502.604","32.0412","420.493","615.166","-58.3288","1556.35","784.584","47.2546","427.821","858.778","171.776","81.4801","800.427","86.0427","1357.58","633.096","-29.8868","1239.71","435.589","155.059","85.4236","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
22,0,"502.399","32.078","420.489","614.904","-58.5037","1556.34","784.536","47.1935","427.876","858.756","171.775","81.5251","800.173","85.9438","1357.59","632.972","-29.9473","1239.66","435.563","155.067","85.4207","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
23,0,"502.207","32.0823","420.522","614.652","-58.6829","1556.32","784.453","47.1525","427.905","858.728","171.758","81.5764","799.913","85.8527","1357.6","632.407","-30.2504","1239.77","435.529","155.063","85.4116","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
24,0,"502.073","32.1806","420.515","614.406","-58.8483","1556.3","784.351","47.1401","427.918","858.701","171.753","81.605","799.658","85.7532","1357.63","632.15","-30.3802","1239.78","435.504","155.064","85.4066","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
25,0,"501.928","32.2249","420.517","614.159","-59.0191","1556.28","784.275","47.118","427.905","858.674","171.743","81.6385","799.384","85.6695","1357.63","632.239","-30.3541","1239.67","435.489","155.089","85.4029","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
26,0,"501.763","32.2484","420.517","613.909","-59.1892","1556.25","784.18","47.0834","427.903","858.644","171.723","81.6773","799.113","85.5961","1357.64","632.113","-30.4056","1239.61","435.467","155.088","85.3785","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
27,0,"501.582","32.2698","420.513","613.658","-59.3544","1556.22","784.046","47.0406","427.9","858.62","171.703","81.7226","798.847","85.5218","1357.64","631.807","-30.5578","1239.63","435.447","155.084","85.3388","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
28,0,"501.46","32.3461","420.467","613.423","-59.5137","1556.17","783.935","46.9906","427.907","858.577","171.682","81.7715","798.59","85.4566","1357.64","631.589","-30.6607","1239.6","435.409","155.091","85.3113","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
29,0,"501.335","32.3822","420.427","613.201","-59.6862","1556.14","783.852","46.9469","427.921","858.539","171.639","81.8516","798.339","85.3932","1357.64","631.14","-30.8962","1239.69","435.385","155.094","85.2872","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
30,0,"501.261","32.3835","420.415","612.975","-59.8477","1556.11","783.803","46.8686","427.977","858.483","171.627","81.9131","798.096","85.3168","1357.65","631.195","-30.8621","1239.57","435.357","155.09","85.2788","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
31,0,"501.231","32.3658","420.417","612.75","-60.007","1556.08","783.719","46.8178","428.011","858.439","171.603","81.9659","797.87","85.2516","1357.66","631.157","-30.8819","1239.48","435.343","155.077","85.2817","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
32,0,"501.224","32.3598","420.418","612.521","-60.1649","1556.04","783.638","46.7726","428.038","858.403","171.583","82.0279","797.651","85.1993","1357.69","631.195","-30.8548","1239.39","435.345","155.058","85.2979","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
33,0,"501.208","32.3169","420.425","612.29","-60.3197","1556","783.597","46.7278","428.054","858.361","171.574","82.0671","797.429","85.145","1357.71","631.198","-30.8592","1239.33","435.345","155.063","85.3287","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
34,0,"501.188","32.2775","420.423","612.083","-60.47","1555.96","783.562","46.6723","428.082","858.333","171.576","82.1238","797.224","85.1138","1357.73","631.045","-30.9513","1239.31","435.33","155.052","85.3413","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
35,0,"501.158","32.2104","420.416","611.887","-60.6304","1555.94","783.561","46.6025","428.108","858.302","171.607","82.1311","797.024","85.0794","1357.75","630.889","-31.0429","1239.32","435.313","155.032","85.365","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
36,0,"501.145","32.1322","420.403","611.696","-60.7772","1555.89","783.541","46.5463","428.121","858.279","171.597","82.1667","796.834","85.0544","1357.75","630.797","-31.1028","1239.29","435.292","155.011","85.3658","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
37,0,"501.151","32.0025","420.394","611.506","-60.9309","1555.85","783.529","46.4765","428.131","858.262","171.593","82.1888","796.671","85.0351","1357.75","630.689","-31.1787","1239.28","435.283","154.993","85.3625","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
38,0,"501.164","31.844","420.393","611.327","-61.0793","1555.8","783.565","46.3691","428.166","858.264","171.556","82.2005","796.527","85.0219","1357.75","630.604","-31.2491","1239.25","435.283","154.966","85.351","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
39,0,"501.221","31.7063","420.353","611.167","-61.2197","1555.75","783.557","46.2854","428.173","858.258","171.541","82.2194","796.405","85.0134","1357.76","630.556","-31.3044","1239.24","435.29","154.945","85.3451","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
40,0,"501.275","31.5328","420.326","610.997","-61.3508","1555.69","783.561","46.1985","428.166","858.249","171.527","82.2284","796.296","85.0228","1357.76","630.512","-31.3698","1239.21","435.298","154.917","85.3482","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
41,0,"501.311","31.2943","420.316","610.834","-61.4789","1555.64","783.559","46.119","428.157","858.253","171.523","82.2397","796.189","85.0317","1357.76","630.479","-31.416","1239.18","435.3","154.894","85.3442","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
42,0,"501.343","31.0894","420.312","610.66","-61.6028","1555.59","783.591","46.031","428.166","858.25","171.519","82.255","796.098","85.0238","1357.76","630.455","-31.4783","1239.16","435.307","154.885","85.3455","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
43,0,"501.385","30.9463","420.279","610.493","-61.7123","1555.55","783.691","45.9052","428.207","858.253","171.521","82.2674","796.019","85.0183","1357.77","630.435","-31.524","1239.14","435.314","154.87","85.3586","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
44,0,"501.372","30.7507","420.274","610.319","-61.8263","1555.51","783.727","45.8281","428.217","858.255","171.527","82.2606","795.949","85.0147","1357.77","630.41","-31.5679","1239.13","435.303","154.849","85.3789","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
