Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (712)",,,"Reconstruction Position - Unlabeled Track (715)",,,"Reconstruction Position - Unlabeled Track (718)",,,"Reconstruction Position - Unlabeled Track (719)",,,"Reconstruction Position - Unlabeled Track (721)",,,"Reconstruction Position - Unlabeled Track (726)",,,"Reconstruction Position - Unlabeled Track (740)",,,"Reconstruction Position - Unlabeled Track (744)",,,"Reconstruction Position - Unlabeled Track (745)",,,"Reconstruction Position - Unlabeled Track (751)",,,"Reconstruction Position - Unlabeled Track (754)",,,"Reconstruction Position - Unlabeled Track (755)",,,"Reconstruction Position - Unlabeled Track (756)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"455.463","3.97738","417.401","587.602","-93.7519","1551.98","856.167","132.029","83.2298","770.521","20.8297","1343.18","600.855","-66.5858","1223.68","804.504","129.727","978.565","359.866","120.8","88.63","338.197","113.639","945.23","762.669","-126.196","1025.4","754.76","20.7391","426.299","405.184","2.86487","1295.94","444.846","32.2362","949.226","421.787","-143.049","864.704","735.133","-21.8122","943.457"
2,0,"455.802","3.74479","417.306","587.892","-92.6304","1552.43","856.178","132.003","83.2508","770.905","21.2226","1343.1","601.164","-66.4001","1223.83","804.75","129.652","978.292","359.918","120.749","88.6881","338.904","114.055","944.976","762.78","-126.209","1025.45","754.909","20.5995","426.278","405.47","3.3912","1295.79","445.284","31.7983","949.005","422.032","-142.818","864.502","735.534","-22.2382","943.585"
3,0,"456.137","3.50788","417.239","588.205","-91.5516","1552.9","856.121","132.039","83.2576","771.264","21.6089","1343.02","601.486","-66.2159","1223.97","805.036","129.579","978.029","359.94","120.71","88.7299","339.667","114.48","944.741","762.863","-126.215","1025.48","755.079","20.4057","426.268","405.738","3.91424","1295.67","445.707","31.3671","948.872","422.278","-142.588","864.324","735.933","-22.6589","943.734"
4,0,"456.412","3.32819","417.136","588.48","-90.5053","1553.33","856.141","132.002","83.2722","771.632","21.9721","1342.95","601.798","-66.0228","1224.09","805.323","129.477","977.858","359.942","120.677","88.7702","340.411","114.903","944.455","762.94","-126.222","1025.49","755.264","20.153","426.274","406.021","4.40247","1295.53","446.049","30.8169","948.827","422.501","-142.33","864.175","736.291","-23.0323","943.868"
5,0,"456.679","3.15383","417.017","588.768","-89.4885","1553.77","856.145","131.962","83.287","771.998","22.2901","1342.92","602.099","-65.8186","1224.2","805.623","129.381","977.705","359.95","120.681","88.8118","341.186","115.364","944.243","763.001","-126.224","1025.49","755.505","19.8146","426.321","406.283","4.86026","1295.45","446.373","30.3561","948.693","422.71","-142.054","864.019","736.641","-23.3424","944.006"
6,0,"456.931","2.95531","416.93","589.052","-88.5248","1554.18","856.152","131.93","83.299","772.337","22.5913","1342.85","602.407","-65.6015","1224.28","805.915","129.342","977.506","359.94","120.661","88.8486","341.921","115.823","944.034","763.042","-126.217","1025.48","755.719","19.4718","426.321","406.547","5.28337","1295.33","446.729","29.9767","948.576","422.88","-141.768","863.863","736.952","-23.5784","944.123"
7,0,"457.172","2.7257","416.864","589.317","-87.5768","1554.56","856.167","131.906","83.3209","772.689","22.8733","1342.81","602.713","-65.3752","1224.33","806.2","129.304","977.324","359.939","120.637","88.8791","342.681","116.332","943.868","763.088","-126.216","1025.46","755.996","19.0638","426.366","406.811","5.65503","1295.24","447.036","29.5216","948.478","423.039","-141.475","863.689","737.3","-23.8351","944.206"
8,0,"457.42","2.45009","416.788","589.6","-86.6735","1554.92","856.152","131.915","83.3112","773.003","23.1107","1342.74","603.022","-65.1725","1224.36","806.464","129.263","977.163","359.944","120.612","88.9151","343.459","116.848","943.719","nan","nan","nan","756.262","18.6172","426.378","407.088","6.00048","1295.16","447.275","29.1094","948.385","423.168","-141.17","863.537","737.666","-24.0388","944.277"
9,0,"457.691","2.21037","416.67","589.9","-85.8107","1555.26","856.143","131.923","83.2894","773.296","23.3138","1342.66","603.305","-64.9938","1224.38","806.723","129.26","976.974","359.93","120.562","88.9303","344.19","117.338","943.565","763.147","-126.195","1025.41","756.493","18.1901","426.411","407.367","6.30006","1295.08","447.576","28.8229","948.214","423.3","-140.85","863.383","737.989","-24.1693","944.29"
10,0,"457.97","1.96762","416.571","590.196","-84.9729","1555.56","856.184","131.866","83.2743","773.599","23.5211","1342.59","603.587","-64.8465","1224.4","806.992","129.22","976.86","359.941","120.497","88.9443","344.916","117.843","943.44","nan","nan","nan","756.705","17.7575","426.403","407.572","6.69071","1295","447.856","28.5305","947.991","423.432","-140.505","863.223","738.312","-24.2793","944.3"
11,0,"458.222","1.77354","416.433","590.489","-84.1603","1555.85","856.193","131.807","83.2562","773.892","23.6954","1342.51","603.881","-64.6937","1224.41","807.217","129.208","976.701","359.973","120.431","88.9547","345.59","118.352","943.351","763.798","-125.918","1025.48","756.943","17.3207","426.4","407.847","6.91811","1294.98","448.086","28.1707","947.815","423.565","-140.154","863.051","738.688","-24.415","944.32"
