Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (445)",,,"Reconstruction Position - Unlabeled Track (448)",,,"Reconstruction Position - Unlabeled Track (450)",,,"Reconstruction Position - Unlabeled Track (455)",,,"Reconstruction Position - Unlabeled Track (456)",,,"Reconstruction Position - Unlabeled Track (467)",,,"Reconstruction Position - Unlabeled Track (472)",,,"Reconstruction Position - Unlabeled Track (491)",,,"Reconstruction Position - Unlabeled Track (494)",,,"Reconstruction Position - Unlabeled Track (495)",,,"Reconstruction Position - Unlabeled Track (496)",,,"Reconstruction Position - Unlabeled Track (497)",,,"Reconstruction Position - Unlabeled Track (504)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"659.164","-1.57913","1567.32","744.456","82.6059","431.5","807.112","129.194","1334.52","428.464","95.5593","1313.69","631.298","14.3066","1240.89","342.904","212.573","975.427","757.176","138.273","64.0979","442.862","-20.7909","861.995","764.225","-33.0701","977.327","467.506","38.9042","931.893","845.114","216.852","982.302","498.763","81.9338","426.999","nan","nan","nan"
2,0,"659.008","-1.53314","1567.24","744.393","82.6556","431.486","807.033","129.182","1334.6","428.361","95.7676","1313.66","631.177","14.3703","1240.95","342.845","212.64","975.342","757.193","138.259","64.0937","442.762","-20.7883","862.006","764.096","-33.0499","977.407","467.422","39.0248","931.867","845.204","216.805","982.357","498.76","81.9316","427.044","nan","nan","nan"
3,0,"658.854","-1.49371","1567.18","744.342","82.7001","431.463","806.92","129.174","1334.63","428.255","96.0205","1313.64","631.048","14.4322","1241.01","342.818","212.733","975.25","757.207","138.259","64.0846","442.671","-20.7862","862.045","763.984","-33.0485","977.511","467.332","39.1317","931.865","845.297","216.724","982.413","498.809","81.8719","427.2","nan","nan","nan"
4,0,"658.681","-1.424","1567.13","744.289","82.767","431.465","806.807","129.148","1334.67","428.153","96.2418","1313.61","630.914","14.4966","1241.07","342.799","212.82","975.16","757.214","138.256","64.051","442.571","-20.7791","862.102","763.874","-33.0613","977.644","467.235","39.2407","931.868","845.415","216.635","982.479","498.775","81.8361","427.31","nan","nan","nan"
5,0,"658.499","-1.3907","1567.09","744.262","82.8337","431.47","806.704","129.104","1334.73","428.04","96.4593","1313.59","630.78","14.5637","1241.11","342.782","212.914","975.109","757.225","138.26","64.0119","442.481","-20.7581","862.162","763.759","-33.0962","977.779","467.131","39.3421","931.867","845.548","216.502","982.561","498.707","81.8321","427.324","nan","nan","nan"
6,0,"658.31","-1.34066","1567.06","744.236","82.9132","431.487","806.598","129.05","1334.79","427.924","96.6639","1313.58","630.644","14.6155","1241.16","342.754","213.011","975.031","757.245","138.272","63.9956","442.384","-20.7335","862.224","763.654","-33.155","977.95","467.029","39.4277","931.872","845.682","216.354","982.644","498.742","81.7305","427.541","nan","nan","nan"
7,0,"658.102","-1.30315","1567.05","744.219","82.9864","431.496","806.501","128.972","1334.89","427.808","96.8637","1313.58","630.497","14.6411","1241.22","342.719","213.113","974.972","757.259","138.298","63.9663","442.293","-20.7179","862.299","763.538","-33.2211","978.144","466.912","39.5204","931.886","845.84","216.168","982.748","498.855","81.6535","427.839","nan","nan","nan"
8,0,"657.886","-1.23839","1567.02","744.193","83.0496","431.489","806.391","128.874","1334.98","427.688","97.0438","1313.6","630.327","14.6764","1241.26","342.706","213.231","974.944","757.262","138.3","63.9267","442.197","-20.6748","862.396","763.382","-33.3138","978.342","466.812","39.6168","931.897","845.993","215.979","982.83","498.987","81.4754","428.105","nan","nan","nan"
9,0,"657.671","-1.18417","1567.01","744.144","83.1114","431.465","806.302","128.752","1335.08","427.566","97.2227","1313.6","630.163","14.7239","1241.3","342.723","213.349","974.911","757.268","138.334","63.9294","442.094","-20.6567","862.504","763.235","-33.4329","978.554","466.725","39.7055","931.891","846.207","215.666","982.995","499.112","81.3562","428.418","nan","nan","nan"
10,0,"657.449","-1.0924","1566.98","744.095","83.161","431.418","806.207","128.621","1335.2","427.438","97.3942","1313.61","629.983","14.7571","1241.34","342.74","213.474","974.844","757.276","138.34","63.9255","441.994","-20.6357","862.614","763.046","-33.5735","978.784","466.648","39.8074","931.889","846.386","215.441","983.085","499.166","81.0611","428.743","nan","nan","nan"
11,0,"657.238","-1.03284","1566.98","744.031","83.2175","431.378","806.101","128.49","1335.29","427.311","97.5615","1313.62","629.795","14.7651","1241.37","342.749","213.615","974.801","757.281","138.351","63.923","441.896","-20.6235","862.744","762.86","-33.7175","978.996","466.572","39.9135","931.89","846.569","215.159","983.188","499.213","80.7785","429.143","nan","nan","nan"
12,0,"657.016","-0.966571","1566.99","743.962","83.2743","431.348","805.992","128.347","1335.39","427.189","97.7257","1313.62","629.594","14.7742","1241.42","342.744","213.753","974.763","757.278","138.349","63.9286","441.783","-20.6063","862.871","762.686","-33.8908","979.234","466.509","40.0036","931.896","846.723","214.886","983.278","499.179","80.4701","429.359","nan","nan","nan"
13,0,"656.788","-0.910098","1567","743.888","83.3427","431.313","805.874","128.207","1335.5","427.061","97.8784","1313.61","629.406","14.7764","1241.46","342.731","213.897","974.734","757.293","138.348","63.9446","441.687","-20.6044","863.031","762.494","-34.0758","979.46","466.43","40.1143","931.899","846.884","214.578","983.387","499.175","80.294","429.566","nan","nan","nan"
14,0,"656.566","-0.844208","1567.01","743.826","83.3952","431.301","805.734","128.062","1335.59","426.934","98.0303","1313.59","629.22","14.7725","1241.51","342.714","214.05","974.711","757.302","138.34","63.9445","441.596","-20.5774","863.158","762.273","-34.3063","979.699","466.338","40.2053","931.925","846.997","214.325","983.423","499.134","80.1197","429.739","nan","nan","nan"
15,0,"656.343","-0.797546","1567.02","743.777","83.4572","431.311","805.609","127.922","1335.7","426.789","98.1761","1313.59","629.038","14.7768","1241.55","342.647","214.183","974.704","757.316","138.351","63.9449","441.5","-20.5398","863.292","763.598","-35.1053","981.484","466.21","40.2938","931.962","847.179","213.938","983.571","499.065","79.9482","429.846","nan","nan","nan"
16,0,"656.126","-0.747335","1567.05","743.739","83.5266","431.323","805.454","127.781","1335.77","426.618","98.3045","1313.59","628.86","14.7682","1241.6","342.59","214.313","974.661","757.323","138.372","63.9292","441.421","-20.5048","863.431","761.853","-34.818","980.278","466.055","40.3493","932.017","847.328","213.607","983.639","499.023","79.7513","429.929","nan","nan","nan"
17,0,"655.874","-0.698007","1567.06","743.711","83.5996","431.335","805.277","127.634","1335.82","426.448","98.4428","1313.59","628.667","14.7742","1241.63","342.472","214.41","974.648","757.32","138.364","63.8723","441.348","-20.4443","863.579","761.566","-35.0637","980.516","465.871","40.3915","932.069","847.447","213.288","983.656","499.091","79.6084","430.116","nan","nan","nan"
18,0,"655.602","-0.654324","1567.07","743.689","83.6809","431.348","805.112","127.495","1335.88","426.287","98.5649","1313.59","628.467","14.7735","1241.66","342.345","214.472","974.635","757.317","138.376","63.8138","441.303","-20.3909","863.736","nan","nan","nan","465.704","40.4214","932.112","847.617","212.866","983.754","499.137","79.4063","430.234","nan","nan","nan"
19,0,"655.314","-0.624036","1567.09","743.67","83.7668","431.341","804.931","127.355","1335.96","426.118","98.6839","1313.6","628.254","14.7611","1241.69","342.186","214.52","974.595","nan","nan","nan","441.239","-20.33","863.907","760.816","-35.6351","981.113","465.548","40.4251","932.132","847.725","212.507","983.743","499.142","79.1166","430.433","nan","nan","nan"
20,0,"655.013","-0.576644","1567.08","743.641","83.8585","431.303","804.735","127.248","1336.03","425.924","98.7843","1313.62","628.029","14.7353","1241.75","342.051","214.56","974.621","757.3","138.45","63.7243","441.149","-20.2835","864.07","760.467","-35.9126","981.406","465.411","40.4351","932.148","847.945","211.895","983.927","499.084","78.7897","430.582","nan","nan","nan"
21,0,"654.685","-0.556341","1567.08","743.59","83.9345","431.252","804.477","127.157","1336.08","425.705","98.8933","1313.66","627.777","14.7118","1241.84","341.898","214.59","974.61","757.291","138.462","63.7048","441.042","-20.2592","864.218","760.074","-36.236","981.661","465.29","40.4386","932.175","848.058","211.46","983.948","498.991","78.3548","430.765","nan","nan","nan"
22,0,"654.337","-0.5641","1567.09","743.524","84.0224","431.217","804.24","127.07","1336.15","425.45","98.998","1313.7","627.506","14.6761","1241.93","341.756","214.607","974.56","757.286","138.449","63.7003","440.931","-20.2728","864.405","759.752","-36.5913","981.959","465.162","40.4281","932.196","848.158","211.031","983.942","498.922","77.8712","431.039","nan","nan","nan"
23,0,"653.977","-0.546321","1567.09","743.447","84.1203","431.187","804.007","126.989","1336.24","425.182","99.0887","1313.74","627.226","14.6509","1242.05","341.607","214.617","974.523","nan","nan","nan","440.793","-20.3252","864.583","759.283","-36.9196","982.149","465.03","40.4324","932.231","848.323","210.436","984.072","498.869","77.5349","431.259","nan","nan","nan"
24,0,"653.609","-0.545153","1567.08","743.369","84.2321","431.172","803.751","126.914","1336.35","424.894","99.1871","1313.79","626.899","14.6121","1242.16","341.481","214.631","974.495","757.29","138.461","63.7706","440.633","-20.4262","864.756","758.663","-37.2796","982.167","464.883","40.4189","932.258","848.433","209.909","984.129","498.635","76.983","431.334","nan","nan","nan"
25,0,"653.216","-0.530111","1567.05","743.283","84.3561","431.189","803.478","126.824","1336.45","424.58","99.2949","1313.83","626.558","14.5773","1242.29","341.304","214.607","974.464","757.286","138.486","63.8296","440.44","-20.55","864.917","nan","nan","nan","464.696","40.4","932.304","848.448","209.495","984.061","498.464","76.5676","431.411","nan","nan","nan"
26,0,"652.785","-0.502647","1567.02","743.214","84.4903","431.232","803.157","126.744","1336.55","424.247","99.401","1313.87","626.196","14.5468","1242.41","341.103","214.568","974.406","nan","nan","nan","440.253","-20.6845","865.066","757.544","-38.054","983.319","464.478","40.3593","932.372","848.559","208.916","984.16","498.394","76.2825","431.495","nan","nan","nan"
27,0,"652.358","-0.484361","1567.01","743.125","84.6159","431.261","802.826","126.666","1336.62","423.889","99.538","1313.91","625.819","14.5137","1242.53","340.895","214.496","974.342","757.268","138.502","63.8505","440.068","-20.8309","865.255","nan","nan","nan","464.254","40.3066","932.408","848.611","208.324","984.229","498.287","76.0254","431.496","nan","nan","nan"
28,0,"651.914","-0.462651","1567","743.028","84.7369","431.272","802.488","126.567","1336.72","423.522","99.6689","1313.94","625.392","14.4774","1242.64","340.644","214.405","974.256","757.25","138.527","63.8559","439.872","-21.0094","865.445","nan","nan","nan","464.012","40.23","932.452","848.635","207.726","984.263","498.174","75.8473","431.534","nan","nan","nan"
29,0,"651.443","-0.452439","1566.99","742.921","84.8509","431.242","802.093","126.424","1336.8","423.135","99.7938","1313.96","624.961","14.4311","1242.74","340.372","214.313","974.141","757.23","138.542","63.8312","439.644","-21.2148","865.658","nan","nan","nan","463.742","40.1831","932.482","848.721","207.026","984.396","498.015","75.7383","431.543","nan","nan","nan"
30,0,"650.97","-0.444921","1566.98","742.815","84.9617","431.211","801.688","126.264","1336.88","422.687","99.9204","1313.97","624.515","14.3885","1242.82","340.101","214.185","974.05","757.218","138.547","63.788","439.396","-21.4435","865.859","nan","nan","nan","463.45","40.1304","932.492","848.766","206.339","984.476","497.884","75.6191","431.607","nan","nan","nan"
31,0,"650.466","-0.424527","1566.94","742.683","85.0574","431.182","801.256","126.093","1336.96","422.28","100.038","1313.97","624.041","14.3491","1242.89","339.765","214.034","973.927","757.215","138.56","63.7901","439.101","-21.6913","866.066","nan","nan","nan","463.132","40.0733","932.487","848.743","205.701","984.481","497.765","75.4836","431.672","nan","nan","nan"
32,0,"649.925","-0.391492","1566.9","742.537","85.1726","431.148","800.783","125.92","1337.03","421.833","100.151","1313.95","623.542","14.2998","1242.94","339.462","213.904","973.857","757.214","138.562","63.8148","438.799","-21.9535","866.292","nan","nan","nan","462.824","39.9757","932.475","848.743","204.996","984.582","497.614","75.3451","431.634","nan","nan","nan"
33,0,"649.373","-0.387055","1566.86","742.364","85.2726","431.128","800.329","125.743","1337.14","421.382","100.246","1313.91","623.06","14.2417","1243.03","339.124","213.733","973.686","757.212","138.566","63.8583","438.469","-22.2434","866.49","nan","nan","nan","462.539","39.8693","932.442","848.691","204.264","984.639","497.54","75.2699","431.625","nan","nan","nan"
34,0,"648.795","-0.400613","1566.83","742.211","85.3553","431.137","799.825","125.578","1337.24","420.91","100.324","1313.86","622.555","14.1676","1243.09","338.747","213.533","973.46","757.19","138.571","63.9244","438.125","-22.5617","866.714","nan","nan","nan","462.257","39.733","932.373","848.585","203.554","984.651","497.372","75.1995","431.496","nan","nan","nan"
35,0,"648.204","-0.415098","1566.78","742.016","85.3997","431.111","799.283","125.436","1337.35","420.383","100.387","1313.82","622.044","14.0934","1243.15","338.378","213.329","973.267","757.176","138.56","63.9594","437.753","-22.9011","866.946","nan","nan","nan","461.953","39.6039","932.308","848.497","202.762","984.748","497.286","75.1995","431.384","nan","nan","nan"
36,0,"647.547","-0.42719","1566.73","741.826","85.4289","431.108","798.776","125.288","1337.51","419.88","100.45","1313.76","621.514","14.0101","1243.24","337.978","213.118","973.107","757.166","138.579","64.0099","437.381","-23.2692","867.207","nan","nan","nan","461.623","39.4614","932.281","848.348","202.044","984.817","497.127","75.0127","431.297","nan","nan","nan"
37,0,"646.897","-0.42783","1566.68","741.652","85.4282","431.086","798.216","125.142","1337.65","419.355","100.496","1313.69","620.969","13.9089","1243.33","337.577","212.91","972.948","757.157","138.603","64.0457","436.99","-23.647","867.469","nan","nan","nan","461.277","39.2996","932.265","848.117","201.345","984.819","497","74.8265","431.305","nan","nan","nan"
38,0,"646.203","-0.478629","1566.65","741.48","85.4435","431.062","797.627","125.009","1337.81","418.756","100.546","1313.65","620.383","13.7974","1243.43","337.158","212.673","972.786","757.136","138.59","64.022","436.568","-24.0469","867.745","nan","nan","nan","460.927","39.1448","932.197","847.977","200.526","984.954","496.852","74.529","431.394","nan","nan","nan"
39,0,"645.497","-0.522878","1566.6","741.321","85.4285","431.023","797.003","124.873","1337.94","418.16","100.574","1313.59","619.759","13.7059","1243.53","336.698","212.411","972.623","757.128","138.614","64.0314","436.101","-24.4932","868.035","nan","nan","nan","460.547","39.033","932.133","847.675","199.855","984.935","496.556","74.01","431.348","nan","nan","nan"
40,0,"644.732","-0.547185","1566.57","741.165","85.4207","430.997","796.392","124.698","1338.12","417.519","100.627","1313.54","619.126","13.5913","1243.64","336.271","212.146","972.408","757.124","138.612","64.0243","435.642","-24.9568","868.33","nan","nan","nan","460.144","38.9268","932.085","847.506","198.915","985.104","496.379","73.5002","431.444","nan","nan","nan"
41,0,"643.959","-0.576866","1566.53","740.964","85.4453","430.954","795.719","124.531","1338.24","416.901","100.687","1313.52","618.439","13.4788","1243.77","335.814","211.889","972.219","757.135","138.602","64.0629","435.164","-25.4676","868.629","nan","nan","nan","459.718","38.8421","932.047","847.264","198.122","985.198","496.224","73.1702","431.469","nan","nan","nan"
42,0,"643.165","-0.640756","1566.53","740.753","85.4623","430.932","795.056","124.31","1338.39","416.209","100.75","1313.49","617.724","13.3514","1243.9","335.343","211.606","971.993","757.136","138.583","64.117","434.69","-25.9831","868.946","nan","nan","nan","459.285","38.7944","931.955","847.087","197.136","985.442","495.869","72.5429","431.413","nan","nan","nan"
43,0,"642.342","-0.693436","1566.53","740.521","85.473","430.942","794.356","124.094","1338.5","415.537","100.808","1313.46","616.987","13.2163","1244.02","334.868","211.313","971.792","757.123","138.555","64.1606","434.177","-26.5594","869.267","nan","nan","nan","458.783","38.7567","931.886","846.67","196.482","985.359","495.552","71.9899","431.386","nan","nan","nan"
44,0,"641.463","-0.711688","1566.52","740.292","85.4754","430.995","793.651","123.811","1338.67","414.82","100.899","1313.45","616.207","13.0549","1244.16","334.39","210.999","971.52","757.103","138.549","64.2298","433.659","-27.1126","869.567","nan","nan","nan","458.265","38.6466","931.861","846.409","195.56","985.561","495.321","71.8222","431.369","nan","nan","nan"
45,0,"640.594","-0.772815","1566.55","740.078","85.4471","431.025","792.93","123.519","1338.81","414.103","100.978","1313.41","615.42","12.9145","1244.28","333.91","210.662","971.299","757.072","138.533","64.3258","433.114","-27.6926","869.869","nan","nan","nan","457.738","38.4585","931.84","846.02","194.8","985.615","494.969","71.3812","431.357","nan","nan","nan"
46,0,"639.681","-0.853945","1566.59","739.855","85.4348","431.059","792.15","123.248","1338.93","413.379","101.042","1313.39","614.648","12.7414","1244.41","333.425","210.336","971.108","757.018","138.533","64.4175","432.583","-28.2705","870.161","nan","nan","nan","457.142","38.2613","931.84","845.707","193.847","985.902","494.486","70.751","431.313","nan","nan","nan"
47,0,"638.724","-0.91088","1566.63","739.627","85.4266","431.086","791.414","122.923","1339.14","412.604","101.099","1313.35","613.852","12.5828","1244.55","332.914","209.988","970.814","756.954","138.492","64.4561","432.03","-28.8638","870.47","nan","nan","nan","456.557","38.0313","931.903","845.114","193.288","985.763","494.233","70.5273","431.38","nan","nan","nan"
48,0,"637.739","-1.01492","1566.69","739.364","85.4057","431.08","790.629","122.649","1339.28","411.89","101.151","1313.29","613.065","12.3922","1244.69","332.435","209.624","970.563","756.893","138.489","64.5076","431.47","-29.4479","870.748","nan","nan","nan","455.985","37.8323","931.885","844.725","192.358","986.038","493.739","70.1999","431.297","nan","nan","nan"
49,0,"636.696","-1.14371","1566.74","739.116","85.3434","431.06","789.851","122.36","1339.49","411.096","101.181","1313.26","612.264","12.2226","1244.82","331.957","209.313","970.374","756.83","138.462","64.5164","430.875","-30.0467","871.047","nan","nan","nan","455.41","37.6304","931.909","844.088","191.792","985.944","493.275","69.7334","431.366","nan","nan","nan"
50,0,"635.624","-1.25492","1566.8","738.837","85.2584","431.02","789.085","122.076","1339.71","410.316","101.152","1313.23","611.488","12.0656","1244.93","331.404","208.926","970.134","756.785","138.472","64.5907","430.299","-30.6283","871.34","nan","nan","nan","454.862","37.4012","931.914","843.604","190.984","986.128","492.975","69.5177","431.408","nan","nan","nan"
51,0,"634.547","-1.39576","1566.85","738.547","85.1852","431.013","788.27","121.846","1339.86","409.565","101.154","1313.18","610.706","11.8937","1245.06","330.883","208.545","969.896","756.744","138.444","64.6328","429.692","-31.2228","871.639","nan","nan","nan","454.345","37.2149","931.901","843.125","190.193","986.327","492.657","69.4034","431.343","nan","nan","nan"
52,0,"633.412","-1.5464","1566.88","738.224","85.1274","431.002","787.489","121.594","1340.07","408.762","101.079","1313.16","609.939","11.7342","1245.16","330.331","208.227","969.689","756.7","138.381","64.7047","429.07","-31.8133","871.923","nan","nan","nan","453.801","37.0024","931.939","842.756","189.224","986.669","492.298","69.247","431.347","nan","nan","nan"
53,0,"632.248","-1.72085","1566.91","737.911","85.0886","431.03","786.693","121.384","1340.23","408.013","101.009","1313.09","609.162","11.5521","1245.26","329.761","207.879","969.484","756.664","138.342","64.8285","428.44","-32.4068","872.182","nan","nan","nan","453.299","36.7493","931.887","842.112","188.63","986.63","491.826","69.0632","431.336","nan","nan","nan"
54,0,"631.101","-1.93311","1566.93","737.569","85.0883","431.056","785.951","121.165","1340.42","407.227","100.902","1313.03","608.411","11.3906","1245.34","329.256","207.504","969.248","756.607","138.299","64.9417","427.81","-32.9902","872.445","nan","nan","nan","452.784","36.5324","931.844","841.755","187.724","986.942","491.395","68.8518","431.363","nan","nan","nan"
55,0,"629.945","-2.14258","1566.92","737.246","85.1158","431.097","785.127","120.949","1340.52","406.456","100.769","1312.96","607.641","11.2154","1245.37","328.636","207.101","969.025","756.551","138.283","65.0935","427.171","-33.5828","872.686","nan","nan","nan","452.196","36.2976","931.796","841.019","187.313","986.767","490.956","68.8","431.284","nan","nan","nan"
56,0,"628.77","-2.40197","1566.92","736.951","85.1138","431.179","784.382","120.705","1340.64","405.674","100.616","1312.89","606.885","11.0498","1245.39","328.082","206.704","968.801","756.497","138.267","65.228","426.556","-34.1722","872.93","nan","nan","nan","451.637","36.0427","931.701","840.675","186.374","987.128","490.51","68.6017","431.299","nan","nan","nan"
57,0,"627.597","-2.69205","1566.92","736.683","85.0797","431.271","783.559","120.484","1340.72","404.904","100.456","1312.8","606.094","10.8496","1245.4","327.506","206.308","968.577","756.438","138.253","65.3433","425.946","-34.7606","873.148","nan","nan","nan","450.99","35.8287","931.606","839.979","185.917","987.028","490.121","68.279","431.385","nan","nan","nan"
58,0,"626.639","-3.03961","1566.78","736.423","85.0505","431.331","782.782","120.224","1340.83","404.088","100.27","1312.75","605.307","10.6418","1245.42","326.901","205.886","968.348","756.378","138.276","65.4595","425.338","-35.3421","873.353","nan","nan","nan","450.346","35.6227","931.54","839.384","185.339","987.105","489.815","68.045","431.383","nan","nan","nan"
59,0,"625.181","-3.29833","1566.83","736.145","85.0573","431.333","781.922","119.982","1340.86","403.309","100.134","1312.69","604.489","10.4254","1245.44","326.325","205.444","968.114","756.311","138.265","65.5129","424.718","-35.9324","873.539","nan","nan","nan","449.661","35.4319","931.464","838.728","184.833","987.098","489.603","67.8689","431.361","nan","nan","nan"
60,0,"624.236","-3.75657","1566.72","735.86","85.0376","431.275","781.133","119.715","1340.97","402.459","99.9725","1312.65","603.662","10.191","1245.43","325.717","205.017","967.908","756.245","138.245","65.5273","424.109","-36.5193","873.751","nan","nan","nan","448.99","35.2604","931.446","838.162","184.234","987.251","489.451","67.6415","431.41","nan","nan","nan"
61,0,"622.98","-4.1285","1566.67","735.567","85.008","431.236","780.278","119.434","1340.99","401.646","99.8493","1312.59","602.848","9.95529","1245.48","325.139","204.609","967.682","756.176","138.269","65.5718","423.483","-37.1105","873.926","nan","nan","nan","448.35","35.0998","931.349","837.519","183.768","987.273","489.232","67.3483","431.405","nan","nan","nan"
62,0,"621.525","-4.41724","1566.59","735.247","84.9505","431.181","779.468","119.135","1341.08","400.807","99.7072","1312.54","601.965","9.72127","1245.46","324.513","204.13","967.432","756.104","138.28","65.5793","422.83","-37.7041","874.135","nan","nan","nan","447.679","34.9482","931.315","836.959","183.201","987.48","489.012","67.1028","431.348","nan","nan","nan"
63,0,"620.438","-4.93298","1566.5","734.909","84.8587","431.114","778.594","118.816","1341.09","399.96","99.594","1312.47","601.082","9.49743","1245.45","323.867","203.752","967.305","756.033","138.314","65.6121","422.185","-38.2767","874.357","nan","nan","nan","447.078","34.8163","931.215","836.315","182.729","987.535","488.825","66.7788","431.254","nan","nan","nan"
