Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (445)",,,"Reconstruction Position - Unlabeled Track (450)",,,"Reconstruction Position - Unlabeled Track (467)",,,"Reconstruction Position - Unlabeled Track (472)",,,"Reconstruction Position - Unlabeled Track (496)",,,"Reconstruction Position - Unlabeled Track (505)",,,"Reconstruction Position - Unlabeled Track (507)",,,"Reconstruction Position - Unlabeled Track (509)",,,"Reconstruction Position - Unlabeled Track (510)",,,"Reconstruction Position - Unlabeled Track (511)",,,"Reconstruction Position - Unlabeled Track (512)",,,"Reconstruction Position - Unlabeled Track (514)",,,"Reconstruction Position - Unlabeled Track (515)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"659.164","-1.57913","1567.32","807.112","129.194","1334.52","342.904","212.573","975.427","757.176","138.273","64.0979","845.114","216.852","982.302","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
2,0,"659.008","-1.53314","1567.24","807.033","129.182","1334.6","342.845","212.64","975.342","757.193","138.259","64.0937","845.204","216.805","982.357","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
3,0,"658.854","-1.49371","1567.18","806.92","129.174","1334.63","342.818","212.733","975.25","757.207","138.259","64.0846","845.297","216.724","982.413","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
4,0,"658.681","-1.424","1567.13","806.807","129.148","1334.67","342.799","212.82","975.16","757.214","138.256","64.051","845.415","216.635","982.479","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
5,0,"658.499","-1.3907","1567.09","806.704","129.104","1334.73","342.782","212.914","975.109","757.225","138.26","64.0119","845.548","216.502","982.561","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
6,0,"658.31","-1.34066","1567.06","806.598","129.05","1334.79","342.754","213.011","975.031","757.245","138.272","63.9956","845.682","216.354","982.644","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
7,0,"658.102","-1.30315","1567.05","806.501","128.972","1334.89","342.719","213.113","974.972","757.259","138.298","63.9663","845.84","216.168","982.748","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
8,0,"657.886","-1.23839","1567.02","806.391","128.874","1334.98","342.706","213.231","974.944","757.262","138.3","63.9267","845.993","215.979","982.83","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
9,0,"657.671","-1.18417","1567.01","806.302","128.752","1335.08","342.723","213.349","974.911","757.268","138.334","63.9294","846.207","215.666","982.995","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
10,0,"657.449","-1.0924","1566.98","806.207","128.621","1335.2","342.74","213.474","974.844","757.276","138.34","63.9255","846.386","215.441","983.085","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
11,0,"657.238","-1.03284","1566.98","806.101","128.49","1335.29","342.749","213.615","974.801","757.281","138.351","63.923","846.569","215.159","983.188","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
12,0,"657.016","-0.966571","1566.99","805.992","128.347","1335.39","342.744","213.753","974.763","757.278","138.349","63.9286","846.723","214.886","983.278","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
13,0,"656.788","-0.910098","1567","805.874","128.207","1335.5","342.731","213.897","974.734","757.293","138.348","63.9446","846.884","214.578","983.387","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
14,0,"656.566","-0.844208","1567.01","805.734","128.062","1335.59","342.714","214.05","974.711","757.302","138.34","63.9445","846.997","214.325","983.423","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
15,0,"656.343","-0.797546","1567.02","805.609","127.922","1335.7","342.647","214.183","974.704","757.316","138.351","63.9449","847.179","213.938","983.571","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
16,0,"656.126","-0.747335","1567.05","805.454","127.781","1335.77","342.59","214.313","974.661","757.323","138.372","63.9292","847.328","213.607","983.639","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
17,0,"655.874","-0.698007","1567.06","805.277","127.634","1335.82","342.472","214.41","974.648","757.32","138.364","63.8723","847.447","213.288","983.656","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
18,0,"655.602","-0.654324","1567.07","805.112","127.495","1335.88","342.345","214.472","974.635","757.317","138.376","63.8138","847.617","212.866","983.754","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
19,0,"655.314","-0.624036","1567.09","804.931","127.355","1335.96","342.186","214.52","974.595","nan","nan","nan","847.725","212.507","983.743","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
20,0,"655.013","-0.576644","1567.08","804.735","127.248","1336.03","342.051","214.56","974.621","757.3","138.45","63.7243","847.945","211.895","983.927","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
21,0,"654.685","-0.556341","1567.08","804.477","127.157","1336.08","341.898","214.59","974.61","757.291","138.462","63.7048","848.058","211.46","983.948","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
22,0,"654.337","-0.5641","1567.09","804.24","127.07","1336.15","341.756","214.607","974.56","757.286","138.449","63.7003","848.158","211.031","983.942","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
23,0,"653.977","-0.546321","1567.09","804.007","126.989","1336.24","341.607","214.617","974.523","nan","nan","nan","848.323","210.436","984.072","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
24,0,"653.609","-0.545153","1567.08","803.751","126.914","1336.35","341.481","214.631","974.495","757.29","138.461","63.7706","848.433","209.909","984.129","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
25,0,"653.216","-0.530111","1567.05","803.478","126.824","1336.45","341.304","214.607","974.464","757.286","138.486","63.8296","848.448","209.495","984.061","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
26,0,"652.785","-0.502647","1567.02","803.157","126.744","1336.55","341.103","214.568","974.406","nan","nan","nan","848.559","208.916","984.16","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
27,0,"652.358","-0.484361","1567.01","802.826","126.666","1336.62","340.895","214.496","974.342","757.268","138.502","63.8505","848.611","208.324","984.229","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
28,0,"651.914","-0.462651","1567","802.488","126.567","1336.72","340.644","214.405","974.256","757.25","138.527","63.8559","848.635","207.726","984.263","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
29,0,"651.443","-0.452439","1566.99","802.093","126.424","1336.8","340.372","214.313","974.141","757.23","138.542","63.8312","848.721","207.026","984.396","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
30,0,"650.97","-0.444921","1566.98","801.688","126.264","1336.88","340.101","214.185","974.05","757.218","138.547","63.788","848.766","206.339","984.476","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
31,0,"650.466","-0.424527","1566.94","801.256","126.093","1336.96","339.765","214.034","973.927","757.215","138.56","63.7901","848.743","205.701","984.481","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
32,0,"649.925","-0.391492","1566.9","800.783","125.92","1337.03","339.462","213.904","973.857","757.214","138.562","63.8148","848.743","204.996","984.582","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
33,0,"649.373","-0.387055","1566.86","800.329","125.743","1337.14","339.124","213.733","973.686","757.212","138.566","63.8583","848.691","204.264","984.639","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
34,0,"648.795","-0.400613","1566.83","799.825","125.578","1337.24","338.747","213.533","973.46","757.19","138.571","63.9244","848.585","203.554","984.651","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
35,0,"648.204","-0.415098","1566.78","799.283","125.436","1337.35","338.378","213.329","973.267","757.176","138.56","63.9594","848.497","202.762","984.748","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
36,0,"647.547","-0.42719","1566.73","798.776","125.288","1337.51","337.978","213.118","973.107","757.166","138.579","64.0099","848.348","202.044","984.817","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
37,0,"646.897","-0.42783","1566.68","798.216","125.142","1337.65","337.577","212.91","972.948","757.157","138.603","64.0457","848.117","201.345","984.819","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
38,0,"646.203","-0.478629","1566.65","797.627","125.009","1337.81","337.158","212.673","972.786","757.136","138.59","64.022","847.977","200.526","984.954","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
39,0,"645.497","-0.522878","1566.6","797.003","124.873","1337.94","336.698","212.411","972.623","757.128","138.614","64.0314","847.675","199.855","984.935","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
40,0,"644.732","-0.547185","1566.57","796.392","124.698","1338.12","336.271","212.146","972.408","757.124","138.612","64.0243","847.506","198.915","985.104","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
41,0,"643.959","-0.576866","1566.53","795.719","124.531","1338.24","335.814","211.889","972.219","757.135","138.602","64.0629","847.264","198.122","985.198","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
42,0,"643.165","-0.640756","1566.53","795.056","124.31","1338.39","335.343","211.606","971.993","757.136","138.583","64.117","847.087","197.136","985.442","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
43,0,"642.342","-0.693436","1566.53","794.356","124.094","1338.5","334.868","211.313","971.792","757.123","138.555","64.1606","846.67","196.482","985.359","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
44,0,"641.463","-0.711688","1566.52","793.651","123.811","1338.67","334.39","210.999","971.52","757.103","138.549","64.2298","846.409","195.56","985.561","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
45,0,"640.594","-0.772815","1566.55","792.93","123.519","1338.81","333.91","210.662","971.299","757.072","138.533","64.3258","846.02","194.8","985.615","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
46,0,"639.681","-0.853945","1566.59","792.15","123.248","1338.93","333.425","210.336","971.108","757.018","138.533","64.4175","845.707","193.847","985.902","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
47,0,"638.724","-0.91088","1566.63","791.414","122.923","1339.14","332.914","209.988","970.814","756.954","138.492","64.4561","845.114","193.288","985.763","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
48,0,"637.739","-1.01492","1566.69","790.629","122.649","1339.28","332.435","209.624","970.563","756.893","138.489","64.5076","844.725","192.358","986.038","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
49,0,"636.696","-1.14371","1566.74","789.851","122.36","1339.49","331.957","209.313","970.374","756.83","138.462","64.5164","844.088","191.792","985.944","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
50,0,"635.624","-1.25492","1566.8","789.085","122.076","1339.71","331.404","208.926","970.134","756.785","138.472","64.5907","843.604","190.984","986.128","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
51,0,"634.547","-1.39576","1566.85","788.27","121.846","1339.86","330.883","208.545","969.896","756.744","138.444","64.6328","843.125","190.193","986.327","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
52,0,"633.412","-1.5464","1566.88","787.489","121.594","1340.07","330.331","208.227","969.689","756.7","138.381","64.7047","842.756","189.224","986.669","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
53,0,"632.248","-1.72085","1566.91","786.693","121.384","1340.23","329.761","207.879","969.484","756.664","138.342","64.8285","842.112","188.63","986.63","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
54,0,"631.101","-1.93311","1566.93","785.951","121.165","1340.42","329.256","207.504","969.248","756.607","138.299","64.9417","841.755","187.724","986.942","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
55,0,"629.945","-2.14258","1566.92","785.127","120.949","1340.52","328.636","207.101","969.025","756.551","138.283","65.0935","841.019","187.313","986.767","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
56,0,"628.77","-2.40197","1566.92","784.382","120.705","1340.64","328.082","206.704","968.801","756.497","138.267","65.228","840.675","186.374","987.128","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
57,0,"627.597","-2.69205","1566.92","783.559","120.484","1340.72","327.506","206.308","968.577","756.438","138.253","65.3433","839.979","185.917","987.028","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
58,0,"626.639","-3.03961","1566.78","782.782","120.224","1340.83","326.901","205.886","968.348","756.378","138.276","65.4595","839.384","185.339","987.105","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
59,0,"625.181","-3.29833","1566.83","781.922","119.982","1340.86","326.325","205.444","968.114","756.311","138.265","65.5129","838.728","184.833","987.098","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
60,0,"624.236","-3.75657","1566.72","781.133","119.715","1340.97","325.717","205.017","967.908","756.245","138.245","65.5273","838.162","184.234","987.251","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
61,0,"622.98","-4.1285","1566.67","780.278","119.434","1340.99","325.139","204.609","967.682","756.176","138.269","65.5718","837.519","183.768","987.273","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
62,0,"621.525","-4.41724","1566.59","779.468","119.135","1341.08","324.513","204.13","967.432","756.104","138.28","65.5793","836.959","183.201","987.48","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
63,0,"620.438","-4.93298","1566.5","778.594","118.816","1341.09","323.867","203.752","967.305","756.033","138.314","65.6121","836.315","182.729","987.535","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
64,0,"618.981","-5.21706","1566.34","777.739","118.472","1341.09","323.183","203.312","967.043","755.962","138.333","65.6122","835.723","182.232","987.704","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
65,0,"617.689","-5.73969","1566.27","776.838","118.107","1341.12","322.5","202.911","966.849","755.885","138.36","65.6408","834.893","181.939","987.545","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
66,0,"616.364","-6.20586","1566.13","776.001","117.71","1341.17","321.771","202.518","966.693","755.837","138.409","65.6853","834.487","181.214","987.967","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
67,0,"615.012","-6.67656","1565.97","775.118","117.283","1341.21","321.055","202.149","966.482","755.795","138.398","65.6897","833.687","180.86","987.806","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
68,0,"613.615","-7.11384","1565.78","774.254","116.792","1341.2","320.293","201.752","966.215","755.723","138.439","65.7065","832.92","180.616","987.629","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
69,0,"612.226","-7.60363","1565.59","773.38","116.254","1341.2","319.574","201.365","965.943","nan","nan","nan","832.524","179.627","987.977","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
70,0,"610.778","-8.04602","1565.33","772.578","115.68","1341.16","318.823","200.987","965.732","755.581","138.666","65.4702","831.395","179.623","987.243","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
71,0,"609.31","-8.4862","1565.1","771.703","115.092","1341.15","318.097","200.606","965.407","755.537","138.841","65.3669","831.224","178.252","987.833","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
72,0,"607.843","-9.02863","1564.88","770.861","114.332","1341.08","317.3","200.202","965.084","755.523","138.987","65.2517","830.245","177.916","987.182","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
73,0,"606.339","-9.56199","1564.63","770.063","113.401","1340.98","316.513","199.767","964.73","755.55","139.067","65.1827","829.453","177.129","986.838","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
74,0,"604.827","-10.0863","1564.41","769.186","112.468","1340.87","315.707","199.274","964.326","755.622","139.113","65.2161","828.762","175.878","986.628","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
75,0,"603.303","-10.6854","1564.21","768.26","111.45","1340.71","314.888","198.809","963.951","755.684","139.063","65.301","828.186","174.33","986.489","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
76,0,"601.779","-11.2899","1564.03","767.38","110.334","1340.66","314.105","198.269","963.551","755.739","138.986","65.5052","827.963","172.283","986.736","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
