Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (450)",,,"Reconstruction Position - Unlabeled Track (467)",,,"Reconstruction Position - Unlabeled Track (496)",,,"Reconstruction Position - Unlabeled Track (510)",,,"Reconstruction Position - Unlabeled Track (538)",,,"Reconstruction Position - Unlabeled Track (552)",,,"Reconstruction Position - Unlabeled Track (573)",,,"Reconstruction Position - Unlabeled Track (577)",,,"Reconstruction Position - Unlabeled Track (614)",,,"Reconstruction Position - Unlabeled Track (618)",,,"Reconstruction Position - Unlabeled Track (620)",,,"Reconstruction Position - Unlabeled Track (621)",,,"Reconstruction Position - Unlabeled Track (623)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"805.317","93.8263","1336.79","379.05","209.226","969.473","839.371","226.313","991.051","625.52","8.24448","1230.86","490.255","74.515","422.456","819.176","180.546","79.8918","752.007","68.1721","430.984","745.532","-14.1433","1021.01","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
2,0,"805.31","94.0142","1336.77","378.974","209.173","969.497","839.305","226.483","991.05","625.553","8.36268","1230.82","490.262","74.5288","422.452","819.173","180.56","79.8912","752.012","68.221","431","745.553","-13.98","1020.99","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
3,0,"805.291","94.1875","1336.75","378.895","209.117","969.504","839.22","226.693","991.011","625.58","8.46337","1230.81","490.265","74.5434","422.472","819.165","180.573","79.8728","752.011","68.2606","431.021","745.576","-13.8233","1021","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
4,0,"805.271","94.3813","1336.73","378.799","209.06","969.494","839.146","226.837","991.032","625.595","8.55109","1230.81","490.261","74.5422","422.472","819.151","180.588","79.87","751.998","68.3013","431.02","745.6","-13.6715","1020.99","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
5,0,"805.288","94.583","1336.74","378.724","209.013","969.493","839.053","227.043","990.979","625.611","8.63365","1230.81","490.269","74.5775","422.479","819.15","180.582","79.8757","751.981","68.3529","431.003","745.63","-13.5284","1021","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
6,0,"805.26","94.7866","1336.71","378.659","208.973","969.488","838.969","227.213","990.975","625.621","8.71912","1230.8","490.274","74.5884","422.473","819.154","180.577","79.8709","751.978","68.4012","430.989","745.677","-13.4047","1021","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
7,0,"805.262","94.9712","1336.71","378.591","208.925","969.482","838.875","227.412","990.94","625.65","8.79864","1230.79","490.268","74.6218","422.466","819.142","180.604","79.8569","751.972","68.4614","430.99","745.735","-13.2924","1021.02","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
8,0,"805.267","95.1638","1336.72","378.525","208.882","969.463","838.794","227.588","990.939","625.691","8.88856","1230.78","490.272","74.6516","422.461","819.149","180.594","79.8662","751.976","68.495","430.992","745.799","-13.1788","1021.03","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
9,0,"805.279","95.384","1336.73","378.489","208.846","969.458","838.687","227.775","990.888","625.744","8.98993","1230.77","490.277","74.6519","422.449","819.152","180.609","79.8682","751.974","68.5417","431.001","745.868","-13.0717","1021.05","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
10,0,"805.262","95.5836","1336.73","378.407","208.783","969.424","838.601","227.915","990.897","625.802","9.08558","1230.78","490.3","74.6725","422.446","819.154","180.615","79.8658","751.981","68.5826","431.021","745.927","-12.9537","1021.06","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
11,0,"805.229","95.7634","1336.71","378.36","208.728","969.378","838.507","228.087","990.865","625.852","9.18596","1230.79","490.295","74.6973","422.432","819.151","180.611","79.871","751.986","68.6111","431.034","745.967","-12.8398","1021.07","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
12,0,"805.226","95.9925","1336.72","378.319","208.678","969.377","838.421","228.232","990.841","625.891","9.27089","1230.8","490.309","74.7314","422.446","819.149","180.605","79.8672","751.981","68.6394","431.048","745.996","-12.7126","1021.09","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
13,0,"805.202","96.1854","1336.74","378.259","208.615","969.355","838.334","228.389","990.81","625.902","9.35032","1230.82","490.294","74.742","422.447","819.147","180.606","79.8744","751.979","68.6547","431.036","746.016","-12.5894","1021.1","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
14,0,"805.197","96.3995","1336.76","378.215","208.568","969.332","838.236","228.55","990.79","625.917","9.42498","1230.87","490.275","74.7318","422.433","819.145","180.612","79.8736","751.979","68.6851","431.042","746.028","-12.468","1021.11","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
15,0,"805.169","96.5921","1336.77","378.173","208.507","969.309","838.153","228.695","990.772","625.908","9.4822","1230.92","490.267","74.7463","422.44","819.146","180.608","79.8697","751.988","68.711","431.052","746.054","-12.3506","1021.14","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
16,0,"805.125","96.8043","1336.75","378.105","208.438","969.3","838.075","228.859","990.734","625.913","9.55442","1230.97","490.267","74.7379","422.45","819.148","180.624","79.862","751.985","68.729","431.052","746.06","-12.2334","1021.15","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
17,0,"805.072","97.002","1336.73","378.02","208.352","969.282","837.983","229.013","990.711","625.911","9.61536","1231.03","490.249","74.6851","422.457","819.145","180.612","79.8707","751.982","68.7488","431.053","746.074","-12.1132","1021.17","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
18,0,"805.027","97.2016","1336.73","377.932","208.289","969.283","837.878","229.16","990.659","625.912","9.68571","1231.09","490.235","74.6829","422.463","819.143","180.607","79.8766","751.975","68.7654","431.058","746.071","-11.9882","1021.18","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
19,0,"804.992","97.4235","1336.71","377.847","208.213","969.282","837.794","229.285","990.642","625.915","9.75955","1231.16","490.213","74.6735","422.466","819.143","180.598","79.881","751.959","68.7844","431.055","746.064","-11.86","1021.17","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
20,0,"804.982","97.6428","1336.73","377.741","208.124","969.278","837.697","229.446","990.598","625.909","9.84848","1231.22","490.21","74.678","422.485","819.143","180.613","79.8756","751.946","68.8115","431.059","746.073","-11.7407","1021.19","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
21,0,"804.954","97.8727","1336.73","377.621","208.04","969.266","837.621","229.549","990.597","625.902","9.94129","1231.28","490.216","74.6609","422.482","819.146","180.601","79.8758","751.926","68.8296","431.053","746.073","-11.6275","1021.21","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
22,0,"804.879","98.0718","1336.7","377.528","207.962","969.247","837.516","229.735","990.511","625.902","10.0317","1231.34","490.197","74.6652","422.478","819.148","180.608","79.884","751.911","68.8648","431.069","746.089","-11.5185","1021.26","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
23,0,"804.829","98.3122","1336.69","377.397","207.876","969.236","837.428","229.889","990.454","625.896","10.1107","1231.42","490.195","74.658","422.448","819.151","180.61","79.88","751.89","68.8952","431.067","747.002","-11.9148","1021.83","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
24,0,"804.801","98.553","1336.7","377.307","207.81","969.245","837.356","230.002","990.409","625.887","10.2136","1231.46","490.214","74.628","422.439","819.153","180.617","79.8612","751.866","68.9227","431.059","746.989","-11.8016","1021.87","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
25,0,"804.778","98.8017","1336.71","377.23","207.752","969.245","837.28","230.133","990.382","625.894","10.3089","1231.52","490.213","74.5582","422.429","819.143","180.626","79.8662","751.847","68.9447","431.075","746.965","-11.686","1021.9","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
26,0,"804.739","99.0625","1336.71","377.131","207.706","969.233","837.207","230.251","990.365","625.888","10.3937","1231.6","490.211","74.5495","422.441","819.145","180.629","79.8583","751.813","68.9609","431.071","746.947","-11.5552","1021.93","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
27,0,"804.713","99.3168","1336.73","377.013","207.626","969.221","837.117","230.398","990.322","625.881","10.4943","1231.66","490.207","74.5174","422.431","819.142","180.625","79.8677","751.788","68.9852","431.065","746.945","-11.4331","1021.99","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
28,0,"804.671","99.5422","1336.74","376.941","207.573","969.209","837.016","230.547","990.281","625.879","10.5752","1231.75","490.185","74.4695","422.406","819.141","180.625","79.8549","751.769","68.9902","431.061","747.051","-11.3615","1022.08","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
29,0,"804.642","99.7799","1336.76","376.803","207.5","969.19","836.935","230.683","990.258","625.884","10.6583","1231.84","490.146","74.4476","422.373","819.142","180.625","79.8595","751.756","68.9953","431.071","747.451","-11.5212","1022.52","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
30,0,"804.605","100.016","1336.79","376.665","207.429","969.141","836.837","230.825","990.232","625.882","10.7337","1231.92","490.127","74.4097","422.355","819.144","180.617","79.8653","751.733","69.0053","431.084","747.535","-11.4702","1022.67","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
31,0,"804.537","100.233","1336.8","376.553","207.363","969.144","836.755","230.954","990.232","625.903","10.8041","1232.03","490.137","74.4259","422.39","819.146","180.606","79.8731","751.725","69.0052","431.099","747.545","-11.3714","1022.76","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
32,0,"804.502","100.464","1336.85","376.437","207.295","969.139","836.665","231.098","990.232","625.902","10.8753","1232.11","490.104","74.3826","422.418","819.147","180.601","79.8799","751.713","68.9964","431.128","747.552","-11.287","1022.85","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
33,0,"804.447","100.687","1336.88","376.354","207.239","969.134","836.579","231.232","990.238","625.902","10.9455","1232.23","490.097","74.3505","422.426","819.154","180.595","79.8925","751.7","68.9822","431.143","747.589","-11.2038","1022.96","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
34,0,"804.395","100.908","1336.92","376.25","207.193","969.149","836.492","231.361","990.248","625.897","11.0207","1232.33","490.093","74.2987","422.42","819.142","180.609","79.883","751.689","68.9716","431.17","747.59","-11.1032","1023.03","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
35,0,"804.378","101.148","1337","376.156","207.16","969.155","836.399","231.495","990.256","625.888","11.0898","1232.43","490.105","74.2275","422.488","819.143","180.616","79.8734","751.671","68.968","431.177","747.56","-11.0005","1023.11","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
36,0,"804.327","101.365","1337.02","376.034","207.125","969.173","836.317","231.626","990.268","625.869","11.1506","1232.52","490.1","74.1069","422.498","819.151","180.617","79.8628","751.655","68.9509","431.172","747.557","-10.8961","1023.18","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
37,0,"804.283","101.574","1337.08","375.906","207.084","969.158","836.243","231.751","990.3","625.865","11.2095","1232.61","490.052","74.0135","422.474","819.151","180.613","79.8536","751.652","68.958","431.183","747.551","-10.8064","1023.25","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
38,0,"804.231","101.757","1337.12","375.801","207.042","969.148","836.164","231.882","990.302","625.848","11.2733","1232.68","490.018","73.9447","422.482","819.154","180.607","79.8466","751.643","68.9658","431.175","747.575","-10.7209","1023.34","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
39,0,"804.177","101.941","1337.15","375.66","206.996","969.131","836.077","232.064","990.274","625.847","11.3292","1232.75","489.974","73.8472","422.466","819.15","180.613","79.8244","751.641","68.9854","431.176","747.573","-10.6003","1023.41","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
40,0,"804.131","102.108","1337.2","375.553","206.967","969.135","836.026","232.196","990.298","625.848","11.3877","1232.83","489.964","73.8207","422.49","819.154","180.606","79.8312","751.641","69.0054","431.17","747.618","-10.5224","1023.51","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
41,0,"804.085","102.312","1337.23","375.436","206.937","969.138","835.969","232.315","990.321","625.83","11.4675","1232.9","489.949","73.8171","422.495","819.147","180.604","79.8242","751.64","69.0305","431.172","747.664","-10.4265","1023.58","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
42,0,"804.008","102.49","1337.28","375.325","206.906","969.148","835.927","232.441","990.351","625.817","11.541","1232.99","489.917","73.7586","422.461","819.14","180.606","79.8287","751.619","69.0563","431.177","747.635","-10.2956","1023.63","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
43,0,"803.933","102.662","1337.32","375.19","206.865","969.142","835.891","232.547","990.384","625.785","11.6137","1233.07","489.758","73.6103","422.371","819.141","180.606","79.8312","751.598","69.0827","431.18","747.616","-10.1866","1023.7","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
44,0,"803.882","102.858","1337.38","375.051","206.832","969.162","835.841","232.661","990.418","625.751","11.6877","1233.17","489.747","73.6151","422.342","819.142","180.611","79.8267","751.578","69.1184","431.179","747.62","-10.0636","1023.76","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
45,0,"803.819","103.064","1337.45","374.954","206.821","969.217","835.802","232.789","990.45","625.716","11.7419","1233.26","489.747","73.6079","422.36","819.144","180.617","79.8288","751.556","69.1511","431.186","747.635","-9.9511","1023.83","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
46,0,"803.751","103.248","1337.5","374.794","206.764","969.219","835.77","232.885","990.5","625.685","11.8013","1233.35","489.705","73.5836","422.339","819.15","180.617","79.8252","751.513","69.181","431.19","747.598","-9.83183","1023.87","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
47,0,"803.69","103.414","1337.57","374.65","206.742","969.237","835.731","233.024","990.517","625.646","11.8854","1233.42","489.668","73.534","422.33","819.152","180.631","79.818","751.471","69.2062","431.201","747.488","-9.67959","1023.88","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
48,0,"803.593","103.592","1337.6","374.493","206.717","969.245","835.689","233.152","990.543","625.621","11.9763","1233.48","489.65","73.5109","422.327","819.18","180.608","79.8289","751.432","69.22","431.2","747.471","-9.55706","1023.92","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
49,0,"803.513","103.779","1337.63","374.355","206.692","969.227","835.638","233.265","990.582","625.588","12.0784","1233.52","489.631","73.4684","422.362","819.186","180.614","79.8129","751.384","69.2208","431.18","747.42","-9.4164","1023.96","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
50,0,"803.446","103.961","1337.68","374.178","206.647","969.205","835.578","233.428","990.582","625.559","12.1788","1233.57","489.605","73.4381","422.361","819.198","180.608","79.7853","751.334","69.2276","431.174","747.373","-9.28129","1024","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
51,0,"803.364","104.136","1337.71","373.989","206.629","969.19","835.514","233.578","990.592","625.515","12.2508","1233.62","489.58","73.417","422.361","819.209","180.601","79.7763","751.279","69.244","431.166","747.372","-9.1541","1024.07","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
52,0,"803.292","104.315","1337.75","373.832","206.61","969.211","835.449","233.736","990.617","625.47","12.3064","1233.68","489.548","73.4033","422.359","819.223","180.595","79.7727","751.232","69.2502","431.151","747.376","-9.01735","1024.12","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
53,0,"803.207","104.492","1337.78","373.662","206.586","969.196","835.382","233.884","990.665","625.441","12.3513","1233.75","489.537","73.3675","422.398","819.23","180.591","79.7551","751.197","69.251","431.165","747.33","-8.86589","1024.17","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
54,0,"803.146","104.675","1337.83","373.477","206.56","969.219","835.301","234.046","990.715","625.401","12.4044","1233.82","489.497","73.378","422.391","819.229","180.581","79.7514","751.135","69.2537","431.185","747.323","-8.74593","1024.23","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
55,0,"803.066","104.866","1337.87","373.354","206.546","969.254","835.211","234.219","990.764","625.375","12.4493","1233.88","489.466","73.3849","422.408","819.234","180.582","79.7567","751.065","69.2514","431.256","747.31","-8.60962","1024.28","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
56,0,"802.942","105.033","1337.89","373.217","206.525","969.304","835.09","234.441","990.77","625.358","12.4993","1233.94","489.459","73.4289","422.444","819.23","180.582","79.7593","750.985","69.2701","431.375","747.188","-8.41529","1024.29","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
57,0,"802.856","105.2","1337.94","373.063","206.509","969.323","834.993","234.582","990.851","625.33","12.5707","1233.99","489.418","73.4244","422.456","819.234","180.59","79.7572","750.883","69.2626","431.533","747.134","-8.25296","1024.33","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
58,0,"802.76","105.368","1338","372.899","206.478","969.349","834.869","234.761","990.892","625.297","12.6283","1234.04","489.374","73.441","422.475","819.231","180.585","79.7489","750.767","69.2411","431.803","747.073","-8.09075","1024.38","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
59,0,"802.668","105.545","1338.05","372.733","206.439","969.353","834.745","234.949","990.929","625.245","12.6878","1234.11","489.332","73.4321","422.501","819.221","180.612","79.713","750.542","69.2735","432.211","747.039","-7.92627","1024.43","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
60,0,"802.572","105.722","1338.1","372.593","206.414","969.374","834.631","235.13","990.968","625.203","12.7395","1234.18","489.264","73.4422","422.466","819.23","180.589","79.7365","750.267","69.2376","432.784","746.979","-7.75606","1024.45","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
61,0,"802.482","105.898","1338.14","372.44","206.393","969.406","834.508","235.309","991.02","625.146","12.7919","1234.26","489.251","73.4383","422.473","819.221","180.618","79.704","749.934","69.1813","433.532","746.935","-7.61056","1024.47","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
62,0,"802.397","106.083","1338.2","372.3","206.364","969.437","834.38","235.492","991.057","625.097","12.833","1234.34","489.232","73.4276","422.485","819.243","180.591","79.7244","749.666","69.0869","434.588","746.85","-7.45252","1024.48","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
63,0,"802.288","106.27","1338.25","372.136","206.319","969.435","834.24","235.669","991.094","625.037","12.8745","1234.41","489.241","73.4338","422.508","819.244","180.603","79.7207","749.442","68.841","435.713","746.75","-7.2678","1024.46","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
64,0,"802.163","106.472","1338.27","371.98","206.262","969.456","834.112","235.853","991.136","624.991","12.9127","1234.49","489.233","73.4493","422.496","819.236","180.61","79.725","749.339","68.4533","436.883","746.686","-7.10126","1024.48","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
65,0,"802.073","106.674","1338.33","371.856","206.253","969.536","833.978","236.046","991.173","624.938","12.9489","1234.58","489.204","73.4514","422.478","819.221","180.629","79.6957","749.31","68.0359","438.012","746.65","-6.95017","1024.49","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
66,0,"801.969","106.88","1338.39","371.675","206.203","969.581","833.836","236.246","991.212","624.895","12.984","1234.67","489.224","73.5008","422.491","819.211","180.633","79.6895","749.332","67.6958","438.835","746.608","-6.78058","1024.52","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
67,0,"801.849","107.087","1338.46","371.475","206.147","969.604","833.722","236.408","991.272","624.843","13.0432","1234.74","489.198","73.5204","422.49","819.223","180.615","79.6872","749.505","67.4754","439.324","746.579","-6.62335","1024.56","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
68,0,"801.752","107.278","1338.54","371.286","206.073","969.609","833.615","236.576","991.357","624.793","13.0992","1234.8","489.185","73.5296","422.499","819.232","180.596","79.6652","749.592","67.2741","439.573","746.557","-6.46781","1024.62","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
69,0,"801.607","107.476","1338.61","371.062","205.984","969.626","833.506","236.753","991.414","624.737","13.1518","1234.87","489.198","73.5531","422.485","819.227","180.596","79.6175","749.564","66.9987","439.761","746.546","-6.32526","1024.68","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
