Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (450)",,,"Reconstruction Position - Unlabeled Track (467)",,,"Reconstruction Position - Unlabeled Track (496)",,,"Reconstruction Position - Unlabeled Track (510)",,,"Reconstruction Position - Unlabeled Track (538)",,,"Reconstruction Position - Unlabeled Track (552)",,,"Reconstruction Position - Unlabeled Track (573)",,,"Reconstruction Position - Unlabeled Track (610)",,,"Reconstruction Position - Unlabeled Track (621)",,,"Reconstruction Position - Unlabeled Track (623)",,,"Reconstruction Position - Unlabeled Track (626)",,,"Reconstruction Position - Unlabeled Track (627)",,,"Reconstruction Position - Unlabeled Track (631)",,,"Reconstruction Position - Unlabeled Track (633)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"800.784","96.2407","1347.04","334.771","151.847","975.291","832.636","218.818","1006.78","634.112","-19.9008","1237.76","499.59","52.7932","421.211","810.986","189.457","80.71","757.433","67.2682","430.397","462.206","-79.4837","880.123","421.637","67.768","1304.75","625.173","-47.891","1565.01","764.161","-32.8214","1036.48","775.038","59.4986","945.527","nan","nan","nan","473.254","13.3417","927.915"
2,0,"800.794","96.219","1347.05","334.663","152.111","975.402","832.842","218.748","1006.85","634.04","-19.8131","1237.79","499.587","52.8727","421.233","810.98","189.465","80.7106","757.402","67.321","430.394","462.07","-79.2314","880.183","421.62","67.9623","1304.84","625.181","-47.6646","1565.03","764.077","-32.8096","1036.54","775.009","59.5832","945.496","430.947","181.701","97.325","473.189","13.5072","927.965"
3,0,"800.825","96.1949","1347.09","334.566","152.358","975.486","833.055","218.705","1006.89","633.973","-19.7313","1237.81","499.618","53.0032","421.249","810.982","189.479","80.7043","757.379","67.37","430.387","461.929","-78.9768","880.221","421.621","68.1554","1304.91","625.192","-47.444","1565.06","763.963","-32.7918","1036.59","774.983","59.6657","945.46","430.954","181.714","97.3108","473.132","13.65","927.996"
4,0,"800.829","96.1575","1347.12","334.478","152.587","975.572","833.248","218.647","1006.93","633.896","-19.665","1237.84","499.594","53.09","421.261","810.982","189.497","80.6923","757.348","67.4201","430.389","461.778","-78.7322","880.254","421.605","68.3562","1304.97","625.208","-47.2134","1565.07","763.853","-32.7756","1036.63","774.944","59.7558","945.408","nan","nan","nan","473.079","13.7967","928.015"
5,0,"800.77","96.1151","1347.1","334.386","152.794","975.664","833.425","218.613","1006.95","633.8","-19.5738","1237.87","499.659","53.1521","421.339","810.985","189.51","80.6807","757.344","67.4397","430.397","461.635","-78.5074","880.26","421.587","68.5596","1305.03","625.227","-46.9906","1565.09","763.732","-32.7628","1036.68","774.919","59.8232","945.373","nan","nan","nan","473.036","13.9422","928.026"
6,0,"800.79","96.0908","1347.15","334.304","152.992","975.743","833.617","218.548","1006.99","633.715","-19.4945","1237.91","499.638","53.2164","421.362","810.99","189.526","80.6691","757.316","67.4755","430.387","461.492","-78.3144","880.28","421.564","68.7601","1305.07","625.245","-46.764","1565.1","763.605","-32.7418","1036.72","774.891","59.8857","945.338","nan","nan","nan","472.985","14.0667","928.04"
7,0,"800.761","96.0387","1347.18","334.202","153.159","975.768","833.783","218.496","1007.02","633.618","-19.413","1237.95","499.6","53.2968","421.371","811.004","189.49","80.6778","757.314","67.4777","430.398","461.363","-78.1573","880.288","421.528","68.959","1305.12","625.26","-46.5447","1565.1","763.463","-32.7157","1036.77","774.864","59.9478","945.301","nan","nan","nan","472.933","14.1666","928.055"
8,0,"800.743","96.0287","1347.21","334.117","153.319","975.823","833.96","218.416","1007.07","633.53","-19.3301","1237.99","499.573","53.4157","421.33","811.004","189.492","80.6667","757.328","67.4855","430.398","461.24","-78.0038","880.311","421.51","69.165","1305.15","625.271","-46.3185","1565.11","763.321","-32.7059","1036.81","774.827","60.0057","945.273","430.962","181.78","97.2248","472.885","14.2716","928.06"
9,0,"800.724","96.0303","1347.24","334.045","153.493","975.86","834.112","218.359","1007.08","633.444","-19.2494","1238.05","499.527","53.4914","421.319","811.012","189.486","80.6763","757.324","67.4849","430.401","461.112","-77.8708","880.356","421.475","69.3655","1305.2","625.274","-46.0948","1565.11","763.15","-32.6923","1036.85","774.798","60.0739","945.257","nan","nan","nan","472.852","14.3658","928.069"
10,0,"800.692","96.0232","1347.27","333.978","153.658","975.899","834.209","218.359","1007.03","633.361","-19.1712","1238.11","499.536","53.5284","421.38","811.009","189.477","80.6779","757.318","67.4897","430.4","460.985","-77.7538","880.396","421.427","69.577","1305.25","625.274","-45.8751","1565.1","762.996","-32.6755","1036.92","774.77","60.1326","945.255","nan","nan","nan","472.812","14.4375","928.087"
11,0,"800.664","96.0427","1347.31","333.887","153.779","975.93","834.354","218.259","1007.1","633.283","-19.0968","1238.18","499.495","53.5615","421.399","811.006","189.508","80.666","757.314","67.4849","430.415","460.836","-77.6547","880.439","421.383","69.7939","1305.31","625.26","-45.6587","1565.11","762.847","-32.6548","1037","774.733","60.1902","945.261","nan","nan","nan","472.778","14.5103","928.122"
12,0,"800.618","96.0578","1347.36","333.805","153.917","975.983","834.487","218.15","1007.18","633.196","-19.0085","1238.28","499.39","53.5758","421.407","811","189.499","80.6887","757.273","67.4933","430.417","460.708","-77.5597","880.501","421.342","70.007","1305.38","625.248","-45.4471","1565.11","762.729","-32.6379","1037.12","774.706","60.2365","945.279","nan","nan","nan","472.758","14.5908","928.168"
