Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (445)",,,"Reconstruction Position - Unlabeled Track (450)",,,"Reconstruction Position - Unlabeled Track (467)",,,"Reconstruction Position - Unlabeled Track (496)",,,"Reconstruction Position - Unlabeled Track (510)",,,"Reconstruction Position - Unlabeled Track (527)",,,"Reconstruction Position - Unlabeled Track (529)",,,"Reconstruction Position - Unlabeled Track (532)",,,"Reconstruction Position - Unlabeled Track (538)",,,"Reconstruction Position - Unlabeled Track (539)",,,"Reconstruction Position - Unlabeled Track (540)",,,"Reconstruction Position - Unlabeled Track (552)",,,"Reconstruction Position - Unlabeled Track (554)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"651.044","-100.545","1561.63","805.828","44.472","1331.37","340.413","92.6337","967.815","850.126","114.215","973.687","640.375","-79.3556","1234.67","780.566","-141.303","987.005","432.321","-13.0913","1311.61","755.784","13.3263","427.326","458.569","-2.68025","422.706","463.528","-132.726","869.668","472.536","-62.649","925.911","844.422","126.14","82.3536","nan","nan","nan"
2,0,"650.998","-100.43","1561.61","805.823","44.6262","1331.37","340.376","92.6431","967.775","850.203","114.329","973.685","640.371","-79.2005","1234.66","780.612","-141.189","987.081","432.325","-12.9378","1311.59","755.816","13.3592","427.301","458.619","-2.66977","422.682","463.571","-132.715","869.712","472.55","-62.5345","925.887","844.467","126.105","82.339","nan","nan","nan"
3,0,"650.979","-100.314","1561.59","805.824","44.7939","1331.37","340.34","92.6616","967.713","850.287","114.421","973.713","640.377","-79.0193","1234.65","780.656","-141.073","987.17","432.329","-12.7853","1311.58","755.847","13.3932","427.288","458.66","-2.63444","422.661","463.61","-132.68","869.74","472.578","-62.4149","925.857","844.45","126.122","82.3211","nan","nan","nan"
4,0,"650.963","-100.164","1561.55","805.826","44.9778","1331.39","340.296","92.7028","967.66","850.353","114.53","973.714","640.389","-78.8179","1234.63","780.735","-140.95","987.242","432.333","-12.6188","1311.57","755.878","13.4241","427.287","458.707","-2.59004","422.636","463.657","-132.644","869.763","472.605","-62.2812","925.856","844.443","126.124","82.2975","nan","nan","nan"
5,0,"650.948","-100.03","1561.52","805.812","45.1891","1331.39","340.278","92.7439","967.598","850.416","114.634","973.723","640.4","-78.6182","1234.64","780.818","-140.825","987.318","432.331","-12.4277","1311.53","755.907","13.4413","427.307","458.787","-2.58544","422.667","463.715","-132.579","869.778","472.627","-62.1496","925.845","844.432","126.168","82.2862","nan","nan","nan"
6,0,"650.939","-99.8854","1561.49","805.805","45.3938","1331.39","340.241","92.8009","967.511","850.455","114.77","973.7","640.417","-78.4008","1234.65","780.87","-140.716","987.406","432.342","-12.2294","1311.5","755.935","13.4543","427.339","458.87","-2.56392","422.691","463.775","-132.501","869.785","472.662","-62.0263","925.854","844.422","126.196","82.2581","nan","nan","nan"
7,0,"650.94","-99.7292","1561.45","805.86","45.6933","1331.34","339.972","92.1597","967.476","850.496","114.901","973.698","640.436","-78.2011","1234.65","780.914","-140.601","987.481","432.349","-12.0166","1311.46","755.97","13.4582","427.36","458.931","-2.51249","422.671","463.828","-132.405","869.782","472.679","-61.8901","925.849","844.395","126.244","82.2266","nan","nan","nan"
8,0,"650.936","-99.5544","1561.4","805.883","45.9404","1331.36","339.955","92.2907","967.429","850.522","115.051","973.67","640.448","-77.983","1234.66","780.981","-140.457","987.535","432.371","-11.802","1311.42","756.003","13.4614","427.368","458.909","-2.55769","422.692","463.885","-132.302","869.75","472.694","-61.7766","925.869","844.415","126.256","82.2047","nan","nan","nan"
9,0,"650.93","-99.3795","1561.37","805.887","46.1741","1331.37","339.946","92.4262","967.377","850.534","115.207","973.623","640.448","-77.7742","1234.67","781.019","-140.317","987.59","432.385","-11.5645","1311.39","756.025","13.4567","427.37","458.907","-2.55349","422.693","463.945","-132.209","869.722","472.707","-61.6259","925.868","844.437","126.254","82.1822","nan","nan","nan"
10,0,"650.934","-99.1793","1561.32","805.885","46.4024","1331.36","339.954","92.5731","967.32","850.563","115.343","973.618","640.442","-77.5464","1234.66","780.968","-140.183","987.66","432.412","-11.3249","1311.36","756.057","13.4453","427.364","458.886","-2.55926","422.7","464.021","-132.119","869.692","472.721","-61.4932","925.861","844.447","126.267","82.1697","nan","nan","nan"
11,0,"650.936","-98.9816","1561.28","805.89","46.6342","1331.34","339.98","92.7242","967.261","850.591","115.479","973.634","640.435","-77.3223","1234.67","781.009","-140.024","987.699","432.418","-11.0858","1311.31","756.083","13.4405","427.353","458.902","-2.55726","422.704","464.097","-132.023","869.663","472.735","-61.3528","925.854","844.439","126.296","82.1489","nan","nan","nan"
12,0,"650.963","-98.7835","1561.25","805.891","46.8561","1331.34","340.001","92.8844","967.204","850.612","115.61","973.636","640.445","-77.1107","1234.68","781.024","-139.863","987.728","432.425","-10.8352","1311.28","756.091","13.4211","427.339","458.906","-2.57279","422.697","464.182","-131.915","869.624","472.737","-61.1969","925.842","844.477","126.272","82.127","nan","nan","nan"
13,0,"650.986","-98.6013","1561.23","805.897","47.0955","1331.34","340.029","93.0534","967.146","850.601","115.796","973.569","640.466","-76.884","1234.7","781.032","-139.698","987.753","432.432","-10.5762","1311.24","756.11","13.3972","427.327","458.891","-2.58712","422.655","464.254","-131.791","869.57","472.753","-61.0303","925.836","844.504","126.274","82.0945","nan","nan","nan"
14,0,"651.028","-98.4013","1561.22","805.907","47.3178","1331.34","340.048","93.2285","967.103","850.595","115.966","973.542","640.471","-76.674","1234.71","781.043","-139.526","987.801","432.427","-10.3043","1311.22","756.125","13.3658","427.317","458.899","-2.61207","422.656","464.321","-131.666","869.52","472.772","-60.8603","925.831","844.486","126.319","82.0361","nan","nan","nan"
15,0,"651.065","-98.1713","1561.18","805.913","47.5459","1331.32","340.084","93.4151","967.058","850.576","116.142","973.519","640.465","-76.449","1234.71","781.082","-139.335","987.855","432.418","-10.0437","1311.2","756.139","13.3411","427.305","458.9","-2.59576","422.637","464.381","-131.517","869.469","472.805","-60.6777","925.825","844.489","126.329","81.985","nan","nan","nan"
16,0,"651.094","-97.9508","1561.16","805.917","47.7726","1331.32","340.123","93.6169","967.012","850.555","116.33","973.5","640.446","-76.2225","1234.71","781.096","-139.144","987.914","432.419","-9.7625","1311.16","756.14","13.3432","427.29","458.876","-2.58473","422.639","464.433","-131.365","869.43","472.843","-60.4709","925.812","844.507","126.328","81.9553","nan","nan","nan"
17,0,"651.116","-97.7085","1561.13","805.908","48.0264","1331.31","340.153","93.8358","966.989","850.536","116.533","973.497","640.451","-75.9943","1234.74","781.101","-138.949","987.992","432.427","-9.48683","1311.13","756.141","13.3497","427.274","458.808","-2.57811","422.62","464.487","-131.212","869.402","472.871","-60.2537","925.79","844.515","126.333","81.9087","nan","nan","nan"
18,0,"651.137","-97.4752","1561.11","805.922","48.269","1331.32","340.18","94.0545","966.94","850.509","116.742","973.472","640.454","-75.7515","1234.75","781.148","-138.727","988.057","432.39","-9.22185","1311.11","756.125","13.3562","427.271","458.784","-2.55565","422.639","464.523","-131.048","869.375","472.899","-60.0306","925.772","844.512","126.367","81.8766","nan","nan","nan"
19,0,"651.163","-97.2344","1561.11","805.918","48.5276","1331.31","340.223","94.2781","966.91","850.501","116.963","973.475","640.462","-75.5212","1234.78","781.156","-138.52","988.122","432.378","-8.94462","1311.09","756.109","13.3701","427.287","458.759","-2.54449","422.675","464.566","-130.877","869.349","472.938","-59.8173","925.783","844.519","126.41","81.8404","nan","nan","nan"
20,0,"651.175","-97.0042","1561.11","805.93","48.7786","1331.32","340.267","94.5139","966.883","850.502","117.154","973.496","640.484","-75.2982","1234.81","781.172","-138.302","988.189","432.381","-8.68526","1311.06","756.096","13.3974","427.294","458.721","-2.5379","422.694","464.602","-130.702","869.313","472.98","-59.6104","925.799","844.534","126.432","81.8232","nan","nan","nan"
21,0,"651.19","-96.7512","1561.12","805.919","49.0499","1331.33","340.288","94.7459","966.844","850.508","117.364","973.525","640.476","-75.0744","1234.84","781.21","-138.071","988.226","432.396","-8.42808","1311.04","756.084","13.4373","427.294","458.639","-2.56914","422.732","464.667","-130.523","869.295","473.007","-59.3967","925.809","844.574","126.424","81.8058","nan","nan","nan"
22,0,"651.195","-96.4758","1561.12","805.935","49.3094","1331.34","340.316","94.9815","966.829","850.586","117.614","973.611","640.457","-74.8394","1234.83","781.218","-137.827","988.229","432.372","-8.16151","1311.02","756.068","13.4953","427.302","458.537","-2.55596","422.74","464.727","-130.321","869.264","473.039","-59.2154","925.817","844.631","126.402","81.7966","nan","nan","nan"
23,0,"651.211","-96.2264","1561.14","805.942","49.5565","1331.36","340.336","95.2152","966.791","850.503","117.826","973.538","640.461","-74.6249","1234.84","781.229","-137.609","988.231","432.377","-7.91083","1311","756.054","13.5762","427.285","458.404","-2.569","422.753","464.768","-130.114","869.241","473.071","-59.0359","925.798","844.61","126.431","81.7799","nan","nan","nan"
24,0,"651.209","-95.989","1561.17","805.951","49.8085","1331.35","340.361","95.4492","966.783","850.497","118.068","973.53","640.474","-74.4062","1234.87","781.199","-137.398","988.244","432.38","-7.67094","1310.99","756.048","13.6543","427.302","458.328","-2.56642","422.774","464.812","-129.921","869.216","473.069","-58.8384","925.784","844.629","126.435","81.7702","nan","nan","nan"
25,0,"651.208","-95.757","1561.21","805.968","50.0405","1331.34","340.395","95.6736","966.764","850.493","118.313","973.517","640.482","-74.1898","1234.89","781.182","-137.173","988.261","432.387","-7.41885","1310.98","756.061","13.7304","427.311","458.279","-2.56566","422.787","464.86","-129.727","869.169","473.057","-58.6502","925.795","844.638","126.444","81.7638","nan","nan","nan"
26,0,"651.21","-95.5337","1561.25","805.976","50.2848","1331.31","340.416","95.8746","966.741","850.502","118.579","973.503","640.496","-73.9803","1234.9","781.219","-136.914","988.275","432.391","-7.17469","1310.99","756.057","13.8131","427.311","458.271","-2.55152","422.794","464.888","-129.514","869.126","473.05","-58.4763","925.808","844.645","126.465","81.7356","nan","nan","nan"
27,0,"651.206","-95.289","1561.26","805.984","50.4986","1331.27","340.473","96.0939","966.744","850.513","118.842","973.494","640.494","-73.772","1234.89","781.225","-136.667","988.304","432.412","-6.94867","1310.99","756.054","13.911","427.329","458.26","-2.54118","422.796","464.921","-129.312","869.074","473.048","-58.2758","925.804","844.658","126.482","81.7087","nan","nan","nan"
28,0,"651.186","-95.0494","1561.28","806.002","50.7183","1331.24","340.494","96.3071","966.74","850.6","119.117","973.581","640.495","-73.5376","1234.87","781.309","-136.391","988.316","432.428","-6.73303","1311.01","756.068","13.9997","427.332","458.271","-2.49452","422.793","464.973","-129.119","869.049","473.045","-58.0662","925.805","844.581","126.574","81.6414","nan","nan","nan"
29,0,"651.153","-94.8436","1561.29","805.992","50.9327","1331.21","340.506","96.4942","966.709","850.522","119.389","973.472","640.502","-73.3217","1234.86","781.309","-136.115","988.346","432.428","-6.53157","1311.01","756.075","14.0911","427.326","458.268","-2.43847","422.798","465.023","-128.913","869.01","473.048","-57.8711","925.789","844.6","126.566","81.6279","nan","nan","nan"
30,0,"651.108","-94.6306","1561.3","805.988","51.1755","1331.18","340.519","96.7014","966.703","850.549","119.678","973.482","640.513","-73.1079","1234.86","781.346","-135.806","988.391","432.448","-6.3352","1311.01","756.086","14.1958","427.321","458.286","-2.37125","422.811","465.052","-128.708","868.973","473.049","-57.6815","925.784","844.582","126.627","81.5762","nan","nan","nan"
31,0,"651.041","-94.431","1561.29","805.993","51.4093","1331.18","340.512","96.9037","966.701","850.547","119.957","973.475","640.534","-72.9098","1234.87","781.341","-135.515","988.434","432.469","-6.14154","1311.01","756.107","14.2891","427.317","458.311","-2.28451","422.827","465.089","-128.503","868.942","473.042","-57.4909","925.791","844.595","126.642","81.559","nan","nan","nan"
32,0,"650.99","-94.2634","1561.26","806.006","51.6551","1331.18","340.5","97.1001","966.686","850.544","120.239","973.47","640.572","-72.6914","1234.87","781.349","-135.213","988.478","432.506","-5.95178","1310.99","756.13","14.3818","427.318","458.332","-2.21818","422.863","465.117","-128.312","868.915","473.034","-57.2985","925.802","844.597","126.669","81.5493","nan","nan","nan"
33,0,"650.908","-94.0835","1561.22","806.024","51.9166","1331.17","340.493","97.2867","966.673","850.538","120.532","973.473","640.608","-72.4585","1234.83","781.348","-134.911","988.532","432.528","-5.78341","1311","756.137","14.468","427.324","458.334","-2.14261","422.861","465.144","-128.129","868.896","473.043","-57.1062","925.805","844.613","126.695","81.5373","nan","nan","nan"
34,0,"650.797","-93.9438","1561.16","806.031","52.1774","1331.15","340.465","97.4723","966.669","850.53","120.838","973.476","640.658","-72.2267","1234.79","781.327","-134.619","988.567","432.551","-5.63318","1310.99","756.166","14.5262","427.329","458.297","-2.09254","422.841","465.187","-127.955","868.874","473.069","-56.9268","925.817","844.607","126.756","81.5087","nan","nan","nan"
35,0,"650.67","-93.8207","1561.08","806.039","52.4319","1331.14","340.436","97.6384","966.677","850.506","121.138","973.473","640.697","-71.9806","1234.75","781.347","-134.321","988.588","432.586","-5.48027","1310.99","756.2","14.5773","427.329","458.247","-2.08473","422.852","465.214","-127.777","868.848","473.085","-56.7197","925.792","844.642","126.764","81.48","nan","nan","nan"
36,0,"650.51","-93.7258","1560.98","806.072","52.6725","1331.13","340.401","97.7873","966.652","850.47","121.462","973.426","640.726","-71.7477","1234.69","781.367","-134.013","988.615","432.622","-5.34195","1310.99","756.247","14.6152","427.337","458.22","-2.01402","422.837","465.232","-127.607","868.836","473.098","-56.5152","925.771","844.594","126.847","81.4289","nan","nan","nan"
37,0,"650.33","-93.6632","1560.86","806.046","52.8218","1331.17","340.474","97.3623","966.386","850.453","121.796","973.397","640.788","-71.524","1234.65","781.399","-133.697","988.64","432.654","-5.20587","1310.98","756.298","14.6397","427.349","458.21","-1.95946","422.844","465.253","-127.451","868.836","473.097","-56.3078","925.75","844.656","126.84","81.3881","nan","nan","nan"
38,0,"650.091","-93.6368","1560.74","806.065","53.0734","1331.15","340.394","97.476","966.391","850.44","122.082","973.4","640.844","-71.3075","1234.61","781.392","-133.415","988.654","432.695","-5.06561","1310.98","756.353","14.6524","427.367","458.182","-1.9282","422.861","465.271","-127.283","868.824","473.091","-56.11","925.719","844.669","126.854","81.3487","nan","nan","nan"
39,0,"649.79","-93.6501","1560.59","806.1","53.3357","1331.13","340.338","97.5887","966.411","850.406","122.394","973.368","640.903","-71.0778","1234.58","781.387","-133.121","988.683","432.75","-4.94685","1310.96","756.415","14.6394","427.365","458.221","-1.83991","422.843","465.277","-127.123","868.805","473.107","-55.9048","925.695","844.686","126.892","81.308","nan","nan","nan"
40,0,"649.435","-93.7021","1560.45","806.108","53.6245","1331.09","340.291","97.6904","966.425","850.372","122.719","973.335","640.96","-70.8455","1234.53","781.42","-132.784","988.69","432.788","-4.82017","1310.95","756.478","14.6125","427.377","458.24","-1.79757","422.832","465.279","-126.966","868.775","473.133","-55.7174","925.683","844.649","126.947","81.2555","nan","nan","nan"
41,0,"649.035","-93.8176","1560.31","806.148","53.8947","1331.06","340.241","97.7857","966.399","850.325","123.017","973.337","641.045","-70.6177","1234.47","781.402","-132.497","988.694","432.865","-4.70055","1310.92","756.55","14.5572","427.394","458.275","-1.78065","422.824","465.294","-126.811","868.743","473.173","-55.4826","925.663","844.713","126.945","81.2408","nan","nan","nan"
42,0,"648.566","-93.9535","1560.17","806.208","54.185","1331.03","340.197","97.8866","966.417","850.271","123.358","973.287","641.134","-70.3797","1234.41","781.413","-132.193","988.679","432.93","-4.57633","1310.91","756.628","14.4809","427.409","458.264","-1.73234","422.748","465.311","-126.656","868.729","473.231","-55.2329","925.624","844.732","126.965","81.2087","nan","nan","nan"
43,0,"648.029","-94.1477","1560.03","806.263","54.477","1331","340.142","97.994","966.486","850.081","123.611","973.157","641.235","-70.1512","1234.37","781.417","-131.879","988.702","433.023","-4.46527","1310.91","756.69","14.4201","427.419","458.28","-1.72564","422.745","465.351","-126.49","868.716","473.304","-54.9913","925.587","844.736","126.983","81.18","nan","nan","nan"
44,0,"647.44","-94.3797","1559.93","806.32","54.7602","1330.96","340.113","98.0842","966.525","850.2","123.994","973.282","641.317","-69.9106","1234.32","781.372","-131.596","988.688","433.087","-4.34202","1310.94","756.753","14.3524","427.423","458.326","-1.70482","422.745","465.386","-126.325","868.704","473.375","-54.7545","925.547","844.759","126.977","81.1573","nan","nan","nan"
45,0,"646.782","-94.6643","1559.85","806.361","55.0411","1330.91","340.049","98.1687","966.573","850.15","124.332","973.242","641.404","-69.6729","1234.3","781.288","-131.322","988.636","433.159","-4.20972","1310.98","756.818","14.2748","427.432","458.359","-1.74554","422.772","465.42","-126.166","868.704","473.415","-54.5263","925.553","844.769","126.985","81.1396","nan","nan","nan"
46,0,"646.064","-94.9241","1559.76","806.416","55.3173","1330.85","340.041","98.2658","966.641","850.085","124.697","973.184","641.479","-69.4272","1234.25","781.256","-131.006","988.595","433.247","-4.08573","1311.03","756.886","14.1674","427.446","458.383","-1.8409","422.838","465.449","-125.996","868.7","473.46","-54.3439","925.567","844.805","126.999","81.1181","nan","nan","nan"
47,0,"645.29","-95.2648","1559.71","806.502","55.5819","1330.8","340.032","98.355","966.676","850.024","125.06","973.119","641.558","-69.1882","1234.21","781.074","-130.771","988.492","433.335","-3.96066","1311.08","756.94","14.0698","427.456","458.386","-1.90372","422.826","465.49","-125.848","868.714","473.486","-54.1317","925.563","844.798","127.044","81.0834","nan","nan","nan"
48,0,"644.432","-95.5939","1559.61","806.573","55.8522","1330.72","340.037","98.4739","966.74","849.963","125.426","973.036","641.621","-68.9548","1234.16","780.861","-130.557","988.339","433.432","-3.82228","1311.12","757.011","13.9557","427.468","458.425","-1.95243","422.811","465.523","-125.692","868.727","473.486","-53.8962","925.553","844.836","127.06","81.0471","nan","nan","nan"
49,0,"643.514","-95.9561","1559.52","806.645","56.1118","1330.64","340.045","98.5813","966.792","849.888","125.809","972.953","641.692","-68.7407","1234.12","nan","nan","nan","433.503","-3.68354","1311.16","757.083","13.8413","427.468","458.512","-2.00579","422.836","465.556","-125.55","868.743","473.51","-53.6695","925.518","844.856","127.085","80.9961","nan","nan","nan"
50,0,"642.531","-96.2964","1559.43","806.741","56.3657","1330.56","340.063","98.6841","966.846","849.821","126.191","972.863","641.764","-68.5312","1234.07","nan","nan","nan","433.578","-3.56001","1311.19","757.159","13.6963","427.447","458.601","-2.03176","422.821","465.601","-125.41","868.747","473.519","-53.4298","925.498","844.874","127.112","80.9423","nan","nan","nan"
51,0,"641.493","-96.6648","1559.35","806.834","56.6053","1330.47","340.059","98.788","966.879","849.751","126.555","972.81","641.829","-68.3312","1234.03","nan","nan","nan","433.647","-3.42983","1311.23","757.237","13.5262","427.427","458.738","-2.02051","422.796","465.646","-125.271","868.758","473.519","-53.1812","925.468","844.893","127.132","80.8853","nan","nan","nan"
52,0,"640.448","-97.0388","1559.25","806.909","56.8273","1330.37","340.052","98.8794","966.925","849.686","126.921","972.735","641.895","-68.1153","1233.95","781.163","-129.201","988.048","433.728","-3.28407","1311.26","757.308","13.323","427.405","458.831","-2.03958","422.787","465.695","-125.129","868.773","473.531","-52.9287","925.445","844.892","127.161","80.8311","nan","nan","nan"
53,0,"639.365","-97.4441","1559.15","806.995","57.0193","1330.29","340.044","98.9996","966.977","849.631","127.3","972.656","641.955","-67.9071","1233.87","781.235","-128.862","987.966","433.819","-3.15277","1311.28","757.38","13.0765","427.395","458.878","-2.03276","422.797","465.736","-124.963","868.791","473.517","-52.6661","925.397","844.878","127.18","80.7828","nan","nan","nan"
54,0,"638.238","-97.8012","1559.04","807.093","57.2229","1330.21","340.041","99.1306","967.025","849.567","127.698","972.567","642.002","-67.7097","1233.77","nan","nan","nan","433.905","-3.02389","1311.31","757.442","12.854","427.398","458.902","-2.00359","422.804","465.774","-124.805","868.826","473.508","-52.4264","925.371","844.91","127.14","80.7687","nan","nan","nan"
55,0,"637.06","-98.1277","1558.89","807.197","57.3906","1330.11","340.034","99.2645","967.08","849.519","128.054","972.538","642.051","-67.5378","1233.69","nan","nan","nan","433.985","-2.89792","1311.33","757.474","12.6853","427.407","458.9","-1.90345","422.753","465.819","-124.659","868.829","473.484","-52.2077","925.344","845.073","126.96","80.814","nan","nan","nan"
56,0,"635.887","-98.4576","1558.74","807.313","57.5246","1330.03","340.05","99.3949","967.119","849.473","128.441","972.482","642.09","-67.3672","1233.61","nan","nan","nan","434.07","-2.78746","1311.36","757.536","12.4985","427.422","458.931","-1.79513","422.754","465.858","-124.53","868.85","473.446","-51.9887","925.335","845.108","126.889","80.825","nan","nan","nan"
57,0,"634.666","-98.7295","1558.56","807.42","57.6418","1329.95","340.074","99.5298","967.155","849.43","128.839","972.441","642.146","-67.2054","1233.52","nan","nan","nan","434.175","-2.67644","1311.37","757.581","12.3334","427.47","459.001","-1.65732","422.77","465.89","-124.395","868.886","473.389","-51.7652","925.329","844.995","126.942","80.7874","nan","nan","nan"
58,0,"633.395","-98.8444","1558.24","807.525","57.7392","1329.86","340.096","99.65","967.179","849.384","129.24","972.373","642.185","-67.0314","1233.43","nan","nan","nan","434.281","-2.56714","1311.38","757.62","12.1771","427.509","459.077","-1.5217","422.781","465.933","-124.254","868.931","473.344","-51.5875","925.327","845.02","126.919","80.7975","nan","nan","nan"
59,0,"632.212","-99.146","1558.13","807.632","57.8295","1329.79","340.114","99.784","967.231","849.364","129.574","972.388","642.231","-66.8939","1233.36","781.584","-126.755","987.547","434.384","-2.47222","1311.4","757.63","12.0489","427.556","459.128","-1.41097","422.809","465.958","-124.099","868.965","473.289","-51.409","925.33","845.028","126.914","80.7922","nan","nan","nan"
60,0,"631.108","-99.4228","1557.96","807.732","57.9044","1329.73","340.163","99.9436","967.309","849.324","129.932","972.352","642.265","-66.748","1233.27","nan","nan","nan","434.477","-2.39112","1311.41","757.65","11.9552","427.587","459.16","-1.2144","422.719","465.996","-123.947","868.987","473.242","-51.2407","925.316","845.047","126.885","80.7854","nan","nan","nan"
61,0,"629.964","-99.6258","1557.8","807.821","57.9543","1329.68","340.203","100.097","967.356","849.28","130.302","972.299","642.282","-66.6216","1233.19","781.678","-126.075","987.316","434.546","-2.30425","1311.43","757.68","11.8889","427.611","459.193","-1.07466","422.704","466.035","-123.794","868.995","473.202","-51.0934","925.31","845.046","126.879","80.7713","nan","nan","nan"
